 	i	bambini	non	lo	possiamo	non	possono	mangiare	il	gelato	prima	che	mangiano	</S>
a	0.8945087	0.100463755	0.0016267842	0.00024680563	0.0006431921	0.00016532777	0.00016653581	0.00033210614	0.00016648755	0.00046747053	0.00021044472	0.00032413195	0.00040455433	0.00027354478
p	0.068564236	0.8408495	0.0038510112	0.00015700447	0.0010296836	0.00040553184	0.00015251423	0.0030545841	0.0001413847	0.0021382552	0.0049588312	0.010269784	0.05081126	0.0136164045
e	0.0011117205	0.99139833	0.0012112353	5.1656778e-05	0.00013770255	2.2502487e-05	1.3668142e-05	0.0008729598	2.1045755e-05	0.00023335963	5.9884118e-05	0.0002517273	0.0018093262	0.0028049436
t	0.0015140029	0.9762333	0.007335179	0.0022016934	0.000628894	0.0014995699	0.0009311397	0.0011371023	0.0025216145	6.593698e-05	0.00036733056	0.00092791737	0.0012517158	0.0033844062
à	0.00022771057	0.98760694	0.004923018	0.00025376555	0.00056905445	1.344144e-05	1.2694486e-05	0.00069672224	1.956608e-05	0.0009424965	0.00013415693	0.00043582052	0.0025012942	0.0016633158
c	0.00041983233	0.99562234	0.0032294253	0.00031253428	9.800416e-05	4.7727895e-05	1.8052724e-05	0.00010412272	2.0767564e-05	6.259111e-06	6.2286595e-06	1.8263765e-05	6.338218e-05	3.298092e-05
i	0.0022617972	0.9307724	0.053923804	0.0095643755	0.0015262525	0.00015067408	5.9319078e-05	0.0009257273	1.9945952e-05	0.00010078898	7.956804e-06	3.7381975e-05	0.00042754647	0.00022199718
a	0.014105681	0.83915305	0.04892059	0.028359756	0.05210924	0.002056527	0.001529436	0.0046375412	0.0023075785	0.00062880805	0.0027164777	0.0014866061	0.0011345908	0.0008541535
e	0.01105393	0.10811035	0.0050018947	0.716651	0.03581861	0.015144281	0.009952969	0.015276574	0.0069658877	0.0012434858	0.006457623	0.012631998	0.025748665	0.029942699
t	0.007459752	0.014353017	0.0032314837	0.5129106	0.10093857	0.059426446	0.045681573	0.035670172	0.011379679	0.0030129733	0.027599124	0.05118314	0.050110403	0.07704301
o	0.0069216522	0.079420544	0.0022086743	0.5372902	0.1803081	0.016665608	0.0077908104	0.036385052	0.0022667795	0.01250413	0.00092315406	0.0081986645	0.083486654	0.02562998
s	0.018011218	0.024713038	0.004191129	0.19085555	0.5000945	0.09750857	0.08718056	0.026585044	0.0070254668	0.0009458411	0.005092061	0.009991857	0.006358679	0.021446472
ò	0.001772053	0.015029721	0.0021021124	0.03769285	0.7919166	0.013514775	0.011613221	0.01537984	0.001741253	0.04220485	0.0033919842	0.0055733677	0.045419186	0.012648076
z	0.0021000018	0.0061408686	0.0022855655	0.03929914	0.8327642	0.052696	0.053652458	0.0052565723	0.0011478814	0.00047312147	0.000499405	0.0008263087	0.0017928107	0.001065721
u	8.470912e-05	0.00019239179	0.00062873104	0.12649652	0.44689134	0.1282708	0.28772768	0.006000178	0.0012007144	0.0004019119	0.00029363352	0.0005003473	0.0009491311	0.00036190276
m	0.0011461176	0.003983798	0.008833239	0.008493231	0.7751017	0.028030587	0.13306823	0.011156835	0.0070817973	0.0045967377	0.011560364	0.003002681	0.0028795938	0.0010649947
e	0.00043033028	0.00013537573	0.0015531194	0.044269506	0.37445194	0.12096621	0.44360214	0.0043905913	0.0012031505	0.0022843229	0.0033744476	0.001031041	0.0020885481	0.00021918626
e	0.008186102	0.014144026	0.018972693	0.008160722	0.4136795	0.01672302	0.33504257	0.0843159	0.01877241	0.023362808	0.0261666	0.014961303	0.009972671	0.0075396146
s	0.01048353	0.01039682	0.0035421904	0.0068798847	0.20625526	0.026144018	0.60111266	0.06784653	0.022869408	0.01054371	0.006371439	0.006069329	0.016386414	0.005098867
ò	0.002265771	0.0057573016	0.0026999707	0.007514297	0.17709367	0.017658265	0.2705636	0.27629858	0.008572635	0.11284133	0.005534362	0.005804276	0.10666043	0.0007354391
z	0.0012807795	0.0034486346	0.010174055	0.0023282247	0.14335763	0.012890233	0.51248485	0.21270794	0.036118794	0.033701997	0.014827768	0.0071126097	0.008105108	0.0014613938
u	3.7035014e-05	0.00011790509	0.00037674975	0.0022646966	0.050273273	0.019102694	0.6866334	0.15857561	0.06432169	0.007827299	0.0023128404	0.0029194248	0.004279902	0.00095743424
n	0.0019728213	0.007895686	0.018725323	0.008466869	0.035370488	0.010830912	0.19114594	0.26602235	0.23208061	0.07758188	0.057852875	0.0417066	0.04410921	0.0062383935
f	0.00066297984	0.00074016344	0.0011272233	0.001893563	0.016318709	0.008159308	0.1314496	0.5079892	0.013177726	0.20934443	0.008369505	0.0052828416	0.09484401	0.0006407078
à	0.00044484396	0.00078522397	0.0051564067	0.0015344484	0.033288453	0.036222033	0.7137709	0.13015376	0.010374208	0.019958202	0.01540067	0.005138761	0.027105825	0.00066621334
i	5.740837e-05	0.00037419738	0.0008447398	0.0004655108	0.0058499887	0.0043152724	0.1286289	0.39682126	0.25760052	0.05989791	0.113025375	0.014044654	0.017969493	0.000104805324
o	0.0011308324	0.0009934551	0.012619522	0.0029219338	0.009961508	0.0033418895	0.016575553	0.039070144	0.03787623	0.70260465	0.14592348	0.0108442055	0.010799924	0.0053366385
g	0.0037666978	0.0022009467	0.0114061	0.0019550568	0.006375987	0.0119405445	0.037959363	0.12181168	0.11750983	0.25051045	0.3322174	0.03453655	0.026398385	0.04141106
e	0.0011321345	0.0022321823	0.004919346	0.0006803676	0.012553722	0.0013913267	0.011859979	0.08982904	0.0085080955	0.7487275	0.10045899	0.0029304877	0.014328896	0.00044796328
l	0.0013023814	0.0032253605	0.0072970185	0.0006851143	0.008880513	0.0006073088	0.0030008669	0.0655079	0.010367846	0.6675262	0.13874942	0.04008036	0.045481578	0.007288047
à	0.0011166759	0.0010665501	0.0025077595	0.00088207034	0.0016917468	0.0013561842	0.0020830543	0.11463487	0.00907051	0.6514529	0.13244791	0.013238101	0.06430893	0.0041427035
o	0.00010784726	0.00035488376	0.0015729223	9.211522e-05	0.00070964504	0.0002831221	0.0007169413	0.007987776	0.0030590764	0.81806874	0.11800773	0.026191631	0.021336151	0.0015115009
