 	non	ha	che	li	aspettiamo	</S>
e	0.89730614	0.082045496	0.004010992	0.00026866747	0.001775863	0.01459289
n	0.0010867275	0.010681294	0.0035513719	0.086281635	0.096289285	0.80210966
è	0.006306355	0.90487975	0.06509684	0.0045661544	0.003172704	0.015978094
n	0.0072795628	0.5659007	0.028221063	0.18631357	0.095438495	0.11684673
a	0.003518924	0.78634006	0.12635088	0.016554432	0.040999975	0.026235817
t	0.04726885	0.092670016	0.65381265	0.045802154	0.1404573	0.019989038
u	0.005542067	0.028018152	0.8670372	0.046406444	0.03249912	0.020497007
s	0.056944977	0.088623255	0.14817704	0.09940433	0.4610674	0.145783
m	0.013738024	0.03505773	0.75809884	0.10719474	0.03676032	0.0491503
ì	0.083073586	0.016136192	0.024923708	0.09868795	0.76164085	0.015537668
n	0.00834499	0.03231208	0.18190643	0.32275417	0.36544406	0.08923826
o	0.00091080496	0.0006005637	0.0146138165	0.53354025	0.44177994	0.008554597
m	0.16464317	0.23358539	0.40667564	0.04330621	0.121763736	0.030025857
e	0.0010266938	0.00011873147	0.00038726444	0.013481583	0.9612088	0.023776872
</S>	0.04934038	0.26525733	0.6524434	0.0065359864	0.025436804	0.0009859914
