 	sto	e	cucino	</S>
e	0.99199533	0.0028614332	0.0029674184	0.0021758776
s	0.8041888	0.040638547	0.01483738	0.14033535
t	0.5490066	0.12144658	0.13853243	0.19101438
è	0.48250854	0.42981517	0.079584345	0.0080919955
c	0.11197053	0.86001873	0.027859597	0.00015115015
e	0.01681172	0.7420668	0.22207946	0.019042023
m	0.13555756	0.5093388	0.35046345	0.004640265
a	0.0035177837	0.23371659	0.6840399	0.078725785
r	0.20724185	0.1209437	0.6184241	0.05339035
è	0.001108508	0.011518688	0.9790469	0.008325894
o	0.007136411	0.019440047	0.9616536	0.011770049
</S>	0.2684413	0.18182345	0.53440607	0.015329241
