 	sicuramente	stanno	ancora	svegli	</S>
s	0.991155	0.0044860914	0.0018502534	0.001606515	0.0009020305
i	0.9812228	0.0026397416	0.001668684	0.0063968594	0.008071849
k	0.9927199	0.0032126675	0.0035310474	0.00050694245	2.9473978e-05
u	0.95927376	0.036115848	0.003194071	0.0004554147	0.00096099096
r	0.98633885	0.007921216	0.004366248	0.00043736034	0.00093624956
a	0.5161866	0.46540335	0.014097108	0.0008553248	0.003457534
m	0.806206	0.15177493	0.031149726	0.001627206	0.009242134
è	0.094908826	0.77737963	0.031000506	0.033985533	0.06272543
n	0.019555416	0.8595924	0.113599636	0.0004225553	0.0068300725
t	0.023326103	0.9324148	0.021694748	0.010781463	0.011782792
e	0.0067779026	0.83286196	0.038045276	0.098643914	0.023670983
s	0.010115957	0.79053646	0.19725244	0.0010566547	0.0010385318
t	0.004575563	0.84484375	0.039973956	0.08890612	0.021700567
è	0.032168888	0.7813686	0.10512839	0.048832837	0.032501332
o	0.0029388978	0.16603436	0.8221135	0.007613124	0.001300125
n	0.018947186	0.0761547	0.8396938	0.014631075	0.05057317
e	0.0018520969	0.005998717	0.03838153	0.94759333	0.006174219
a	0.0049118833	0.04369076	0.9424684	0.0029892856	0.005939705
n	0.027491255	0.013470036	0.10903465	0.73547655	0.11452756
k	0.004785981	0.0011201247	0.010143566	0.9736292	0.010321084
ò	0.19478141	0.18284892	0.564764	0.04459865	0.013006981
r	0.0052871564	0.03072383	0.86662036	0.049817033	0.047551546
a	0.0004907556	0.0038947067	0.13498312	0.821201	0.03943039
a	0.021760939	0.24039513	0.70722866	0.0074574766	0.023157772
t	0.13393459	0.15684664	0.36293697	0.25928167	0.087000154
s	0.2244809	0.055019747	0.045567762	0.511305	0.16362672
ù	0.08248761	0.14362897	0.7121554	0.014986652	0.046741407
n	0.014536176	0.15478642	0.53139603	0.08557151	0.21370989
n	0.004144656	0.012553349	0.024818659	0.611823	0.34666035
i	0.0040027797	0.018776475	0.08609997	0.061078683	0.8300421
t	0.01685238	0.2577767	0.4595413	0.17470133	0.091128334
i	0.0018323673	0.0012006619	0.0014757708	0.18475011	0.81074107
</S>	0.08471699	0.33609733	0.46289784	0.026200762	0.09008699
