 	è	pericoloso	di	nuotare	nella	notte	</S>
è	0.99222106	0.0057221875	0.00028185314	0.0005031564	0.00021182504	0.00028652494	0.0007733544
p	0.97709274	0.019309856	0.00035918775	0.0016443442	7.283787e-05	0.0006207415	0.00090041466
e	0.92251235	0.065074325	0.00035087153	0.0092531955	0.00011316899	0.0010962922	0.0015997948
r	0.09692473	0.7985917	0.012968306	0.08082981	0.004195999	0.0054871324	0.0010023506
i	0.01523431	0.9285084	0.0074820574	0.029173618	0.0030417524	0.015016129	0.001543752
k	0.04116235	0.8069845	0.05133587	0.08847207	0.005355627	0.0041568615	0.0025325345
u	0.002415955	0.88698477	0.024669636	0.046009857	0.007317694	0.031272806	0.0013291093
l	0.015466165	0.7763566	0.0442164	0.10252735	0.0032003534	0.0041203997	0.05411287
ò	0.0023555374	0.63607824	0.09822984	0.11625207	0.03075706	0.113928	0.0023992169
s	0.002142342	0.33536816	0.57522994	0.08079754	0.0039559775	0.002248156	0.0002578508
o	0.00034212117	0.093348145	0.85752046	0.022700787	0.005252691	0.010590877	0.010244927
n	0.021584034	0.027779067	0.18861906	0.28911	0.37015328	0.09033486	0.012419688
a	0.0009080954	0.01743012	0.100392364	0.6676094	0.08045827	0.13195474	0.0012470128
n	0.015901892	0.05066488	0.019719884	0.5369625	0.21720836	0.069217496	0.09032495
a	0.00039954204	0.002069204	0.0044253734	0.61446846	0.2645052	0.11308634	0.0010459026
t	0.007380712	0.05112894	0.008461745	0.5840735	0.1923899	0.08871674	0.06784842
è	0.00043643222	0.0011857214	0.0025067644	0.4629506	0.36283845	0.16888365	0.0011983548
t	0.0007598447	0.0066993707	0.0025624507	0.21988691	0.6634763	0.10520329	0.0014119147
s	0.00013673863	0.0011365198	0.0005611151	0.15981854	0.65262705	0.17780273	0.007917343
i	0.00010887881	0.00067977235	0.007814392	0.014603566	0.6407301	0.24744007	0.088623226
a	0.004434238	0.0073409383	0.03389248	0.026477145	0.60191125	0.30436748	0.021576481
t	0.02860058	0.069165535	0.06995861	0.08047262	0.353501	0.24711728	0.15118437
s	0.000326991	0.0009097959	0.0019205824	0.0047354223	0.09296714	0.8954023	0.0037377463
è	0.0012686293	0.0042200824	0.004038892	0.01141939	0.12656169	0.84708196	0.0054092933
n	0.00036108893	0.002289156	0.0048202737	0.007825393	0.12165619	0.84522754	0.017820384
ì	9.516334e-06	4.387214e-05	3.5832232e-05	0.00019611622	0.0128314905	0.97188336	0.014999858
t	0.0031094223	0.008695485	0.013093654	0.03024948	0.11154284	0.82089424	0.012414906
t	4.8723086e-05	0.00022707002	0.00015988229	0.00049114856	0.015657809	0.9685042	0.014911242
a	0.0009666243	0.003307654	0.017355561	0.008535618	0.11509488	0.66989994	0.18483967
</S>	0.008220148	0.012086558	0.03766995	0.030353332	0.3528015	0.39022323	0.16864526
