 	pure	che	ti	ho	visto	una	volta	solamente	non	ti	dimentico	mai	</S>
p	0.98552924	0.0108446935	0.00037269146	0.00051059946	0.0006191307	0.00014734504	5.299628e-05	2.7684337e-05	1.3027054e-05	0.00016783594	0.00021791061	0.00032024554	0.0011765478
ù	0.9553776	0.017745325	0.0011325568	0.00072272617	0.00035746355	0.00029589512	0.000112722555	2.2116476e-05	0.00012823376	0.0003723456	0.00020592804	0.0016069592	0.021920102
r	0.66997087	0.32336563	0.0037060643	0.0011718719	0.00037309533	0.000106416264	8.403468e-05	0.000119807446	0.0002136691	0.00034438813	0.00016123115	0.000270385	0.00011257884
u	0.3501172	0.59817505	0.04210825	0.0052186092	0.0014711414	0.0010373496	0.00035013622	6.415578e-05	4.4620403e-05	7.842231e-05	3.906147e-05	0.00020866415	0.0010873203
k	0.022523569	0.8597789	0.064229846	0.030555803	0.007719005	0.0024640593	0.0006188713	0.0034843367	0.0028867095	0.0025706284	0.0012012257	0.00067457947	0.0012925451
a	0.004821426	0.7517535	0.18955186	0.04048987	0.0069087422	0.0026275998	0.001088042	5.703347e-05	3.9741462e-05	0.00017533502	0.00016709822	0.001043891	0.0012757743
s	0.016484894	0.6945798	0.17598617	0.08415588	0.0112679405	0.0022907823	0.0005141871	0.0042159176	0.003457619	0.002045017	0.00084709737	0.0005742351	0.0035805374
ì	0.0061879763	0.24486442	0.14558096	0.44621807	0.12971212	0.011725678	0.0041629397	0.00010710544	3.7616053e-05	0.0008943445	0.0009563244	0.0053685294	0.004183863
t	0.0019756733	0.2628403	0.34287828	0.3810895	0.008663869	0.0012891568	0.00026407215	0.0002673285	0.00019674595	0.00013622646	5.7921312e-05	8.9884124e-05	0.0002509567
a	0.00031069788	0.10312841	0.5766291	0.3113328	0.004742665	0.0013750959	0.0003642342	0.00041491876	0.00024588095	6.830479e-05	3.0443181e-05	0.00016555561	0.0011918425
m	0.008551255	0.044746105	0.14492819	0.6408942	0.10663119	0.027036395	0.0055876407	0.009371045	0.0041514696	0.001718782	0.0010647066	0.00079551194	0.004523488
i	0.0009798821	0.012169272	0.15870799	0.63502455	0.15505801	0.030111216	0.0033575352	0.002471768	0.00023385888	0.0003584424	0.00042225892	0.0008571919	0.00024798702
a	0.013680497	0.03917409	0.035800233	0.4480579	0.3267925	0.07137637	0.013248772	0.010568934	0.016879277	0.0030715433	0.002561512	0.0018866882	0.016901705
f	0.005749117	0.018181328	0.0063786698	0.12589926	0.79644465	0.03098906	0.0025821459	0.0023561453	0.0014345158	0.001490709	0.0016004905	0.0026169547	0.0042770123
o	0.0017379008	0.0069163404	0.008474146	0.11085389	0.7477189	0.11231967	0.009361843	0.00024214771	3.3579385e-05	0.0002749357	0.00021618119	0.0014546394	0.00039586815
r	0.00494486	0.023284683	0.015242315	0.17500544	0.6198732	0.096383095	0.010906798	0.008584434	0.017155366	0.003271662	0.0027524235	0.0020504782	0.020545257
à	0.0006967983	0.0013087646	0.00087751116	0.016441915	0.8052953	0.15294701	0.017094968	0.0001755573	1.8987148e-05	0.00040169086	0.000492453	0.002176272	0.0020728125
s	0.0025217615	0.010950475	0.006927154	0.091432676	0.695964	0.16507144	0.008091519	0.0036653115	0.006165543	0.0023003013	0.0011112068	0.001019568	0.0047790725
o	0.00046003427	0.0010361215	0.0024304048	0.053921375	0.556273	0.34355605	0.020913849	0.008527533	0.006305172	0.0012459375	0.0010034617	0.0025505777	0.0017765448
l	0.0056815464	0.0119670555	0.024791196	0.05261386	0.34170422	0.48253232	0.045445394	0.01522625	0.0044741104	0.0022221985	0.0022863618	0.002777915	0.008277523
a	0.0005006646	0.0015157749	0.0016020853	0.006093756	0.4299618	0.44429943	0.10636345	0.0016726535	0.00016880366	0.0007974264	0.0006844285	0.0058402554	0.0004994371
m	0.006779656	0.023191074	0.031406906	0.057363056	0.15033378	0.63290775	0.04133862	0.008876937	0.006396001	0.0038960532	0.0030862936	0.0036101085	0.030813823
è	0.00080039504	0.0067418953	0.013290707	0.011791008	0.22221242	0.6445038	0.067546025	0.02256957	0.001657932	0.0019915723	0.0018293969	0.004104061	0.00096122903
n	0.0007960337	0.0015801728	0.0030437866	0.005238421	0.0595381	0.82367027	0.06743861	0.023173891	0.0045778356	0.003935712	0.002738516	0.0040077376	0.00026098263
t	0.00020219354	0.00038999828	0.0006008938	0.0041422048	0.14056534	0.5515295	0.17216226	0.045790188	0.027477557	0.0246487	0.015039153	0.015249363	0.002202584
e	4.857371e-05	0.0003016469	0.001431208	0.0016356782	0.010978849	0.14353147	0.20412488	0.24933219	0.29283017	0.02618341	0.022690278	0.01729983	0.029611826
e	0.0013471377	0.0017030903	0.004661959	0.0063361023	0.022551728	0.26408058	0.34890217	0.32518217	0.007669211	0.006968754	0.0054985574	0.00441453	0.00068402826
s	0.007946933	0.0293507	0.013260091	0.022038475	0.038409937	0.14346364	0.21479703	0.24751623	0.04468423	0.07235289	0.06819581	0.027830616	0.07015338
a	0.0006061152	0.004714566	0.0026460078	0.0021505689	0.0104698315	0.20903786	0.7210346	0.02203144	0.002966288	0.008260973	0.004373865	0.010888491	0.00081947463
l	0.02490184	0.05651147	0.0454657	0.06322725	0.042147197	0.30113304	0.16385065	0.08936072	0.023572396	0.057243217	0.059699025	0.04564626	0.027241217
l	0.00035105416	0.0017539574	0.0017245627	0.0010824775	0.003747661	0.08965446	0.8158188	0.034290437	0.0037034235	0.015727617	0.008534026	0.01925116	0.0043603797
i	0.0004459756	0.002345882	0.0016169243	0.0028625296	0.0045662583	0.095665075	0.57797563	0.26967752	0.026859233	0.0076747118	0.0025034791	0.0074492735	0.00035755095
m	0.002660237	0.0060236948	0.020831095	0.023116125	0.00984646	0.073610894	0.30357027	0.35594428	0.02051608	0.054238155	0.044522643	0.033748038	0.051372025
o	0.0008060504	0.010331943	0.020931356	0.009102022	0.0027444996	0.05301017	0.28702754	0.43864784	0.07795243	0.043171193	0.02058369	0.029691676	0.005999554
n	0.018020615	0.057049144	0.1300349	0.056309808	0.021117143	0.14152727	0.100600876	0.08312444	0.009262405	0.07795258	0.099467	0.18627739	0.019256445
ò	0.00030645626	0.0008828529	0.0012817119	0.00070973806	0.0015658683	0.019136574	0.66435295	0.10217216	0.012559595	0.065157965	0.062232144	0.057721153	0.011920856
m	0.0017251096	0.003368123	0.0042480356	0.0058113784	0.003317849	0.036014274	0.25189874	0.11762269	0.015419628	0.35304007	0.14824435	0.055791304	0.0034984415
à	1.1808621e-05	1.3610851e-05	4.9651193e-05	2.6833233e-05	8.204809e-05	0.0015101557	0.02904403	0.09669496	0.019144643	0.25411013	0.48059842	0.11795218	0.0007615452
i	0.0002947249	0.00047985747	0.0009592702	0.0010999256	0.00093245425	0.008680529	0.08458199	0.09914	0.009006699	0.33942127	0.33391374	0.12056232	0.00092720514
</S>	0.0048630736	0.01665093	0.03547202	0.070956446	0.036029115	0.13065016	0.3486999	0.062095437	0.003901289	0.037864618	0.16070336	0.06382567	0.028287977
