 	che	non	li	aspetiamo	</S>
n	0.99675983	0.000555627	5.416395e-05	0.0012433234	0.0013870705
a	0.95063204	0.004182681	0.003649746	0.005265608	0.03626993
m	0.4104569	0.080511115	0.32147047	0.14747643	0.04008502
i	0.16446044	0.04961643	0.23343433	0.18280485	0.36968398
t	0.030583378	0.0038844347	0.24368541	0.53901607	0.18283072
u	0.7039327	0.022222469	0.185961	0.021709105	0.06617472
s	0.008270784	0.009206563	0.28755683	0.6375705	0.057395328
m	0.5448739	0.015438129	0.19122733	0.054982472	0.19347814
ì	0.2265947	0.10340451	0.14459985	0.46821138	0.057189595
n	0.041531645	0.015637645	0.29944378	0.5087399	0.13464706
o	0.0012976667	0.007737852	0.28457838	0.6954377	0.010948391
m	0.17406228	0.49968252	0.106582716	0.1729889	0.04668368
e	0.00059951225	0.0039392263	0.013440513	0.9018415	0.080179125
</S>	0.79014206	0.1570564	0.020208806	0.030486483	0.002106286
