 	il	ladro	poteva	entrare	da	qui	</S>
o	0.9519287	0.03220983	0.0059639807	0.0060463045	0.0011294959	0.0018619293	0.0008598224
l	0.108496994	0.86240363	0.003883667	0.0012007507	0.005085707	0.007549737	0.011379521
à	0.00303604	0.99220556	0.0023057822	0.00044969234	0.0002777433	0.0012284692	0.0004968077
d	0.013683028	0.97939247	0.001867293	0.00039020524	0.0013424818	0.0010965829	0.0022278465
r	0.012931181	0.9644425	0.009747758	0.0016036924	0.0013284736	0.0054895314	0.0044568046
o	0.032257598	0.10651654	0.037261028	0.027744344	0.38374773	0.12576179	0.28671098
ì	0.056520727	0.10653949	0.33132303	0.10351113	0.28967068	0.072879106	0.03955586
s	0.009272112	0.08909154	0.64314115	0.19370618	0.035330873	0.022570537	0.006887603
o	0.0028297212	0.16010493	0.47206888	0.19166833	0.07620531	0.08275482	0.01436807
z	0.007466273	0.0015421844	0.47063968	0.29798082	0.16190664	0.051154923	0.009309552
e	0.00041363636	0.011357465	0.44182518	0.39838123	0.03764001	0.1093417	0.0010408936
è	0.004019217	0.0045190956	0.22324589	0.5378615	0.15387976	0.060367458	0.016107125
m	0.001133851	0.003042253	0.12994675	0.7154585	0.07797803	0.06354085	0.008899694
b	2.9746023e-05	0.00033470776	0.092387445	0.57278055	0.1708363	0.15932778	0.004303565
i	0.00019626753	0.0003139348	0.051528748	0.4891276	0.29649156	0.117086284	0.045255635
a	0.003050173	0.001307648	0.037217975	0.16136853	0.5137428	0.27555084	0.00776205
p	0.015643818	0.010582816	0.061770502	0.13885464	0.21789308	0.4768907	0.07836443
ò	0.0001865618	0.0008547097	0.0012581393	0.008784623	0.06822277	0.9195606	0.0011326299
t	5.672194e-05	0.0016511026	0.0049930234	0.009583127	0.025192738	0.9576079	0.00091543177
t	1.2375692e-05	0.00012054408	0.0002027377	0.001016601	0.030123165	0.9656218	0.0029028123
u	0.00011886346	0.00046609703	0.0031487427	0.00940989	0.08314242	0.70508283	0.19863115
</S>	0.0019509355	0.0060600177	0.12506382	0.13447873	0.113619976	0.58669704	0.032129463
