 	non	aveva	cosa	a	fare	</S>
e	0.90080523	0.08449228	0.00039547338	0.0030893208	0.005936807	0.005280804
n	0.0009700855	0.0055732117	0.0010222798	0.0039005443	0.19421825	0.7943156
ì	0.0030496186	0.9239753	0.0007957044	0.010955361	0.044468462	0.016755627
c	0.005229068	0.81963766	0.013060478	0.021718256	0.057460565	0.08289395
h	0.0038616224	0.87333536	0.016319238	0.021855326	0.021568304	0.063060224
e	0.0032572502	0.1335836	0.5117703	0.036423825	0.24518357	0.069781445
t	0.009870787	0.047208477	0.32656866	0.4791739	0.08506478	0.05211336
i	0.018120214	0.020784412	0.35632992	0.17482257	0.33784428	0.09209858
k	0.034859136	0.090158604	0.032726005	0.6097704	0.07765305	0.15483277
à	0.0013336336	0.004678544	0.014587946	0.14205782	0.7839463	0.053395797
m	0.0029047856	0.011143461	0.011395217	0.7768614	0.18802531	0.009669838
i	0.0008926846	0.001253328	0.021217711	0.3297435	0.6308543	0.0160385
</S>	0.22380494	0.31339496	0.20001319	0.20158921	0.05379155	0.007406151
