 	il	vestito	della	sposa	vuole	bianco	</S>
o	0.8786696	0.005867716	0.09313559	0.007872349	0.0074968254	0.0062080547	0.0007498029
à	0.33832616	0.005744927	0.45409468	0.04826327	0.10742507	0.033467498	0.012678395
b	0.001138238	0.004035847	0.9896539	0.00246159	0.0018656771	0.00063280994	0.00021201471
b	0.0049781213	0.020438846	0.95295775	0.010828032	0.0067336024	0.003732626	0.0003310053
i	0.07421898	0.7677192	0.1192784	0.007963945	0.011448356	0.0126289	0.0067421864
t	0.0340466	0.6369634	0.2980995	0.021019645	0.0079381	0.0016739934	0.00025870732
o	0.0004075137	0.13667464	0.63292277	0.12707692	0.03000025	0.07202528	0.0008927594
u	0.14418735	0.5043855	0.2324126	0.069964185	0.021604462	0.0051692724	0.022276724
k	0.01498796	0.008323326	0.09509354	0.7625341	0.046525948	0.015989605	0.056545556
o	0.0003651994	0.0058954027	0.03969688	0.8579233	0.033307366	0.062446494	0.00036527377
r	0.041467603	0.038502403	0.02625763	0.7150943	0.08033953	0.019242177	0.07909628
a	0.00028738697	0.0017016263	0.010672835	0.87327445	0.045532953	0.06725883	0.0012718887
s	0.011579787	0.0067849024	0.0046364423	0.8573527	0.07224279	0.01474822	0.03265525
ì	0.0001692551	0.00049204467	0.002219028	0.7858328	0.102785125	0.10728806	0.0012136466
u	0.001822557	0.0023819073	0.00064436765	0.73437774	0.19745885	0.059518557	0.0037959889
t	0.0011409903	0.0015842932	0.002407059	0.46642438	0.43853304	0.08208535	0.007824924
è	0.00044652427	0.0001600077	0.0012970534	0.17876722	0.45407388	0.36390254	0.001352847
l	0.00046985343	0.0011339489	0.0004960394	0.09898386	0.697801	0.19721764	0.0038975796
i	1.9324869e-05	3.912351e-05	4.687413e-05	0.042589266	0.43471923	0.5140586	0.008527614
à	0.007296866	0.033964176	0.0010398658	0.073997505	0.4255366	0.3855059	0.07265913
s	0.0003401151	0.00044557627	0.001004738	0.02254715	0.32764998	0.64370394	0.0043085143
p	5.1282495e-06	6.3450507e-06	2.4722312e-05	0.0007330724	0.06946755	0.92598987	0.0037733752
r	0.00066162884	0.0032607426	0.00036263018	0.07586202	0.29207253	0.56901324	0.058767248
o	2.5223846e-05	5.021075e-05	3.5220495e-05	0.00025787522	0.033953957	0.5281116	0.4375659
</S>	0.00068461173	0.009372341	0.0006098571	0.033842392	0.099089324	0.79884166	0.05755986
