 	vogliono	girate	</S>
t	0.8847564	0.10636793	0.008875731
è	0.93979526	0.03886101	0.021343736
l	0.9973884	0.002481503	0.00013013284
u	0.83024377	0.12912832	0.040627938
n	0.91766393	0.06367536	0.018660812
e	0.20961435	0.66128874	0.12909697
v	0.8879403	0.030348873	0.08171084
o	0.15202136	0.4775606	0.37041795
t	0.29645303	0.4784043	0.22514269
i	0.35243753	0.110303044	0.5372594
m	0.11308464	0.6637826	0.2231328
m	0.013201177	0.88899404	0.0978048
è	0.10661947	0.8898526	0.0035279584
n	0.24766803	0.5844275	0.16790453
e	0.011587372	0.86040676	0.12800592
</S>	0.46782148	0.26814356	0.26403496
