 	non	aveva	da	stare	</S>
e	0.9067388	0.0798587	0.0041665533	0.004744313	0.0044916244
n	0.00904306	0.009624783	0.0029155286	0.02750614	0.9509105
ì	0.0024091504	0.95914376	0.009614754	0.018512899	0.010319474
c	0.006937339	0.9071606	0.008812795	0.020937007	0.0561523
h	0.0060079144	0.8069913	0.026376037	0.07312306	0.08750166
e	0.012874107	0.543113	0.12488422	0.15644525	0.16268346
n	0.010007193	0.10760857	0.64265597	0.21381363	0.025914637
a	0.014612622	0.05746164	0.34697047	0.36901212	0.21194308
s	0.041902803	0.14824401	0.22207643	0.47967467	0.1081021
t	0.0040243585	0.009077607	0.16919184	0.7942428	0.023463417
a	0.0076953354	0.0035506447	0.050565615	0.7346601	0.20352833
s	0.062848195	0.043626834	0.08960583	0.77906126	0.024857834
ì	0.010751091	0.021330902	0.042855665	0.9193879	0.005674522
</S>	0.012015648	0.05447774	0.07335176	0.8231265	0.03702835
