 	Marika	tu	hai	mangiato	</S>
M	0.9861596	0.008696447	0.0025099865	0.001649992	0.0009839683
a	0.7925173	0.02600778	0.013116291	0.14410453	0.024254104
r	0.21642038	0.0403123	0.057325542	0.07840795	0.6075338
ì	0.058808833	0.8732687	0.024930738	0.042116053	0.00087567
k	0.0040401695	0.9538985	0.033327334	0.008659176	7.492519e-05
a	0.0047465833	0.83228946	0.048687812	0.09363261	0.020643476
e	0.010004245	0.31582868	0.47853535	0.1722016	0.023430161
s	0.02955996	0.13609257	0.6137753	0.100928456	0.11964377
ù	0.0029882237	0.06841916	0.63063365	0.29617637	0.0017825945
è	0.0009678452	0.033426836	0.74858034	0.21417795	0.0028469837
f	0.054668676	0.021265188	0.54005575	0.36641523	0.017595133
e	0.00024383592	0.0009426159	0.05372393	0.9296129	0.015476838
</S>	0.016515082	0.08266224	0.27446356	0.56439567	0.0619634
