 	da	da	un	famoso	poeta	</S>
p	0.9846123	0.0073197386	0.003521537	0.0013216473	0.000898	0.0023268303
u	0.8947752	0.030533765	0.008650845	0.0018850501	0.032585237	0.031569764
s	0.43511418	0.22958493	0.07073628	0.011189351	0.2511737	0.002201583
s	0.024417192	0.7572134	0.16521059	0.03183983	0.018655883	0.0026630904
è	0.028817404	0.8266595	0.07732554	0.029369315	0.034710404	0.0031179225
n	0.010835648	0.7610595	0.19291326	0.013474653	0.021543402	0.00017356614
a	0.0039728223	0.80293024	0.120124355	0.01522759	0.047958504	0.009786511
f	0.041320562	0.07422896	0.5621502	0.2369945	0.08055279	0.0047529116
a	0.0023004857	0.0244544	0.6526524	0.24013235	0.07594905	0.004511344
m	0.028116548	0.05060486	0.43219525	0.4049731	0.04978687	0.03432345
ò	0.010316569	0.029899303	0.24980728	0.5347778	0.15293944	0.02225955
s	0.0028104458	0.0051313667	0.18041477	0.7553566	0.054770317	0.0015165333
o	0.0011957109	0.0028714035	0.11767321	0.81334555	0.048624225	0.016289918
p	0.014604724	0.021675332	0.046565704	0.8080162	0.09511309	0.014025001
o	0.0015832627	0.0036087353	0.008758023	0.5497708	0.4293445	0.006934658
è	0.05427779	0.07798683	0.1371607	0.29955038	0.42494395	0.006080247
t	0.004198665	0.007069305	0.015881473	0.37847513	0.5443082	0.0500672
a	0.0003797919	0.0006614564	0.002047476	0.04767039	0.94620675	0.0030340832
</S>	0.054047573	0.0798504	0.16221951	0.26700902	0.42491218	0.01196131
