 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.99172616	0.0016656006	0.00015729642	0.0003110406	0.004803925	0.0013358777
c	0.9989518	0.00026478487	1.2449898e-05	5.497489e-06	0.0007458286	1.9588158e-05
h	0.9898319	0.004072079	9.7845856e-05	0.00014375334	0.004353074	0.0015014425
e	0.92927086	0.030851245	0.022004588	0.011642979	0.005159763	0.0010705566
p	0.34245762	0.59034026	0.0009416724	0.0043468475	0.06171653	0.00019704502
o	0.1462386	0.3180756	0.14255063	0.061847854	0.2835687	0.047718663
l	0.14193897	0.6315515	0.023220113	0.015518735	0.08327696	0.1044937
e	0.0028055913	0.9031078	0.00061174785	0.0069831563	0.07854868	0.007943109
m	0.007554326	0.9491554	0.0014569358	0.0024711578	0.0360636	0.003298617
ì	0.0075656213	0.7096208	0.008669318	0.0042653345	0.24791817	0.021960814
s	0.004580092	0.9710019	0.008511909	0.0059264097	0.008894376	0.0010853003
o	0.0022022715	0.6278135	0.27670634	0.051860206	0.017340872	0.024076754
n	0.03515474	0.36293164	0.08389744	0.21070187	0.29260954	0.014704795
t	0.001174314	0.19620012	0.52887166	0.15013821	0.10317274	0.020442935
a	0.001167697	0.013753342	0.7880238	0.08486853	0.027309388	0.08487722
ò	0.03697825	0.11025115	0.103925906	0.2955204	0.44895315	0.0043711676
l	0.00703335	0.026968552	0.0056833625	0.10473611	0.8521338	0.0034448416
i	0.00014589868	0.0034051444	0.12997064	0.8429792	0.010504871	0.01299433
t	0.02885724	0.032117926	0.062397838	0.69678664	0.16074483	0.01909553
i	0.00038362556	0.0013277801	0.11314148	0.71730703	0.15658613	0.011253934
n	0.032271367	0.03446513	0.019654052	0.5537366	0.35379776	0.0060751056
a	0.00016594968	0.0008479757	0.013321556	0.6849422	0.20798156	0.09274077
d	0.032499894	0.022295129	0.01013211	0.35232547	0.5792034	0.0035439893
d	0.0002822326	0.0015054364	0.015653238	0.2472454	0.7207286	0.014585068
o	0.0014604279	0.0021572488	0.03366906	0.9249099	0.027137185	0.010666103
m	0.038954563	0.09382111	0.14434084	0.55225617	0.13532716	0.03530015
à	0.0005848506	0.0021202734	0.06629347	0.2934975	0.6287605	0.008743393
d	0.0045778826	0.0032091427	0.002922639	0.022961179	0.96224904	0.004080072
a	0.002468093	0.001603863	0.008907185	0.1579188	0.7343532	0.094748974
</S>	0.1640245	0.2150041	0.045245055	0.095504075	0.43814993	0.04207234
