 	non	sono	ancora	vestita	</S>
e	0.92413455	0.06199562	0.0041262386	0.002131268	0.0076122787
n	0.03906277	0.13968933	0.006828301	0.0113523025	0.80306727
ì	0.003278064	0.9653368	0.016156992	0.009957605	0.005270497
m	0.002405576	0.9789766	0.009563219	0.002748788	0.006305702
e	0.008808251	0.745166	0.054101128	0.08552649	0.106398106
a	0.017578794	0.21285003	0.69184023	0.07032406	0.0074069183
n	0.048575263	0.10088794	0.36880073	0.039094765	0.44264126
k	0.014699491	0.03487452	0.866488	0.06591827	0.018019712
ò	0.19023715	0.12765498	0.47432294	0.19926065	0.00852425
r	0.001437917	0.006549967	0.91505545	0.07398487	0.0029717686
a	0.003694574	0.004256109	0.53669554	0.40822405	0.04712975
e	0.058283363	0.118811965	0.31628594	0.4803114	0.026307387
n	0.2870015	0.2828197	0.16392903	0.14464276	0.121606946
d	0.04055922	0.007494442	0.021884514	0.91132104	0.018740805
i	0.08247918	0.09128483	0.26827443	0.5498558	0.008105811
m	0.106165595	0.06455729	0.07200557	0.7303923	0.026879229
è	0.18492848	0.011188898	0.009966738	0.72833943	0.065576464
n	0.01402999	0.08522127	0.16115889	0.701004	0.03858588
i	0.003697812	0.012433198	0.019386305	0.8875405	0.076942086
</S>	0.046281345	0.18643531	0.30669966	0.4327025	0.027881153
