 	il	morto	si	piange	</S>
o	0.95521516	0.022272024	0.011663728	0.010071183	0.0007778507
a	0.55738235	0.154965	0.07931177	0.15912671	0.04921418
p	0.016582906	0.8600794	0.01681431	0.056228735	0.050294667
e	0.0009959518	0.9662326	0.016547427	0.0107273245	0.0054967366
t	0.05215342	0.85497844	0.04250303	0.032584537	0.017780622
a	0.00048375435	0.9373081	0.036674917	0.01954984	0.0059834984
m	0.03217553	0.8908313	0.03010461	0.017851213	0.029037386
m	0.006386065	0.4594506	0.121656254	0.3504743	0.062032886
è	0.009198871	0.60263073	0.27683717	0.109109856	0.0022234367
n	0.03334602	0.4300638	0.49322367	0.027200665	0.01616592
o	0.0007561645	0.7079602	0.21088974	0.062121645	0.018272258
i	0.16081405	0.16654193	0.3672756	0.1334818	0.17188661
k	0.068043694	0.283069	0.39543667	0.10117149	0.15227915
l	0.0029068748	0.03833572	0.33113796	0.6189988	0.008620641
è	0.004987883	0.14565806	0.25709078	0.5873361	0.0049270843
e	0.005000029	0.03190257	0.2735117	0.6279623	0.06162344
t	0.032378413	0.3281811	0.6046859	0.022561537	0.012193046
e	0.0015469736	0.048389193	0.031301342	0.8608756	0.05788692
</S>	0.0065557263	0.09831952	0.65776074	0.2321866	0.005177439
