 	il	dito	si	gonfiò	</S>
o	0.90826464	0.03514838	0.013043037	0.041042965	0.0025009015
d	0.14346272	0.6975318	0.059597373	0.07484887	0.024559278
à	0.006758044	0.927948	0.004008538	0.060418952	0.0008665269
t	0.014685315	0.8935835	0.024294287	0.06432973	0.00310715
t	0.009636282	0.9164474	0.01808643	0.039352644	0.016477248
i	0.01878989	0.08880283	0.080359034	0.07594729	0.736101
l	0.035258457	0.3701601	0.4487696	0.09618043	0.049631435
o	0.0017612549	0.4435772	0.12021647	0.3626697	0.071775265
è	0.013118437	0.062260088	0.45290312	0.34602302	0.12569535
p	0.0010852122	0.0043956	0.6333825	0.34980497	0.011331737
r	0.00025661627	0.0059474306	0.2914764	0.69521075	0.007108811
i	0.001584772	0.0032133146	0.29827267	0.18685701	0.51007223
m	0.009150246	0.007902081	0.8556802	0.09479547	0.03247202
m	0.00027896918	0.0011454726	0.13281164	0.7830943	0.08266968
è	0.00085696444	0.0013014298	0.6616232	0.22754416	0.10867421
n	0.016607508	0.019775294	0.8676743	0.07898637	0.016956553
o	2.7497974e-05	0.00049024133	0.12245391	0.45121866	0.42580968
</S>	0.2265836	0.097914085	0.30550525	0.21887825	0.15111877
