 	prima	di	andare	alla	scuola	</S>
p	0.99677104	0.0010727872	0.00022457418	0.000616208	0.000579885	0.0007355636
r	0.93898076	0.014983583	0.014028094	0.0026128618	0.00974794	0.019646764
ì	0.9586298	0.022716725	0.00276019	0.007954523	0.007059317	0.0008795073
m	0.6679451	0.2628367	0.027466383	0.012101326	0.029556846	9.37283e-05
a	0.043500748	0.6496338	0.062232103	0.052775845	0.1539045	0.03795295
n	0.22229855	0.076827146	0.26026952	0.07991262	0.3354519	0.025240246
a	0.0030181482	0.6116412	0.2669549	0.03235787	0.082270436	0.0037574556
p	0.35596672	0.031950355	0.24778506	0.099608086	0.23059198	0.03409772
à	0.0038418537	0.022603987	0.7651479	0.103603944	0.10190036	0.0029019576
i	0.010821222	0.007935783	0.66903853	0.15042941	0.15833619	0.0034389198
s	0.25338024	0.008583818	0.13261949	0.041285623	0.5040993	0.060031496
t	0.0058562956	0.0059026517	0.26588604	0.5836611	0.13397111	0.004722707
i	0.011745891	0.027211307	0.052286353	0.14017928	0.7620118	0.0065654134
s	0.16678156	0.025362594	0.015492795	0.02905729	0.7567061	0.0065997234
k	0.0011238301	0.013409334	0.025205668	0.16875651	0.77365565	0.017849026
ò	0.013296534	0.10335799	0.040578503	0.1538298	0.65262556	0.03631161
l	0.0031672926	0.0012775923	0.0017233291	0.0076048668	0.9824728	0.0037541306
a	0.0002380075	0.00011418233	0.0008788471	0.013846798	0.94576836	0.039153706
</S>	0.36141375	0.03669741	0.089469865	0.09162662	0.40500495	0.015787356
