 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.9896988	0.00147645	9.172659e-05	0.001091601	0.0036064475	0.0040351297
c	0.99995255	2.1113496e-05	3.5343267e-06	7.112556e-06	2.2571332e-06	1.3333855e-05
h	0.9988482	9.9308265e-05	8.520061e-05	0.00013928124	0.000136955	0.00069098966
a	0.9682372	0.022467962	0.004246604	0.003180168	0.001689806	0.00017820056
n	0.9910194	0.0009566879	0.0058729257	0.0018206919	0.00029116817	3.912165e-05
a	0.9081087	0.07600702	0.0038735825	0.0021352118	0.004324233	0.005551242
v	0.9118731	0.0076081115	0.06479117	0.011554738	0.0022367295	0.0019362173
o	0.1541831	0.7722564	0.01834086	0.007789574	0.026106838	0.02132318
r	0.048607536	0.033876326	0.18942693	0.022418167	0.18836008	0.517311
à	0.08526428	0.29678842	0.2602661	0.08993353	0.17701237	0.09073532
s	0.01080365	0.008420128	0.95548326	0.009892415	0.00503705	0.010363505
o	0.006469506	0.045159604	0.5794838	0.12786615	0.12897015	0.11205077
t	0.03251925	0.0013130547	0.7784784	0.08165065	0.094799824	0.011238893
s	0.0011225259	0.0032335666	0.9129471	0.040865183	0.035019606	0.0068121594
o	0.00042974367	0.0039678556	0.93034816	0.035793897	0.02258871	0.006871599
m	0.11127218	0.004618061	0.22767214	0.22937484	0.35957435	0.0674884
ì	0.0004498498	0.019888015	0.6184448	0.15460846	0.19387485	0.012733953
k	0.005563178	0.0013068883	0.0027135347	0.852221	0.13583943	0.0023559057
u	0.00026207653	0.0029220516	0.01851427	0.3888652	0.58690584	0.0025305713
à	0.17349423	0.01291386	0.026635347	0.27994967	0.4993785	0.007628382
i	0.14807609	0.0031156586	0.022647377	0.17445102	0.63487405	0.016835785
m	0.007985	0.0012113722	0.0034109317	0.030823123	0.8708641	0.085705474
è	0.00034694673	0.006329485	0.008989246	0.030133082	0.95072395	0.0034773743
r	0.0223351	0.01629388	0.0058500203	0.16372277	0.76286435	0.028933939
i	0.0011665742	0.011870891	0.0025278719	0.042672534	0.9362985	0.0054637217
</S>	0.37467754	0.049407106	0.0425515	0.13622572	0.32092568	0.076212466
