 	il	lenzuolo	vuole	lavato	</S>
o	0.90582216	0.028603492	0.039140433	0.025220934	0.0012130473
p	0.27822953	0.15234675	0.29096523	0.23681037	0.04164817
l	0.013844931	0.34218353	0.5383443	0.06750425	0.038122978
a	0.0037432015	0.6203461	0.32489347	0.048414767	0.002602411
ù	0.067404404	0.65155125	0.2552541	0.021173192	0.0046169925
n	0.00695987	0.82742226	0.11984267	0.034374703	0.011400505
a	0.0026911008	0.8497376	0.09771642	0.03623298	0.013621848
t	0.037784427	0.55134207	0.19741541	0.20551449	0.007943581
è	0.00031131206	0.18920527	0.68062794	0.12736546	0.0024900264
l	0.006620412	0.18675664	0.68438756	0.12049865	0.001736786
i	0.0004956949	0.14053935	0.65476835	0.17893279	0.025263835
p	0.029549243	0.035390493	0.26190603	0.6436719	0.029482404
l	0.0002805449	0.004715705	0.31580973	0.6641236	0.015070437
i	0.00434889	0.012111795	0.11458619	0.38640416	0.48254895
m	0.030512843	0.030868873	0.037578188	0.8621206	0.038919486
è	0.0036380542	0.0035067883	0.01758817	0.7880742	0.1871928
n	0.008239854	0.019547522	0.061294805	0.8778188	0.033098977
o	0.0007834575	0.0061019077	0.024297444	0.72737235	0.24144484
</S>	0.05437003	0.07056133	0.25181454	0.60699284	0.016261183
