 	ancora	non	mi	sono	vestito	</S>
a	0.9898141	0.00063177745	0.004669103	0.0014688732	0.00038862074	0.0030275644
n	0.90009826	0.003529319	0.0019006104	0.0013318589	0.006881779	0.086258225
k	0.99009514	0.00059056387	0.00083335134	0.0025839852	0.00060355366	0.00529323
ò	0.43858823	0.2299109	0.20041507	0.08814257	0.029541595	0.013401675
r	0.8424253	0.0756959	0.06537341	0.0147724785	0.0013269428	0.00040598775
a	0.4707327	0.33357248	0.049132697	0.034992334	0.049750987	0.061818782
e	0.14484204	0.044972103	0.4303829	0.32072073	0.053116847	0.005965362
n	0.26128107	0.028447973	0.15075941	0.061563797	0.01713653	0.48081124
e	0.088314176	0.0063926913	0.033616126	0.7952613	0.015557108	0.060858577
n	0.17956139	0.06522032	0.3273948	0.26321205	0.014491076	0.15012044
d	0.007776908	0.0022571813	0.0031324502	0.8794144	0.05449465	0.05292439
ì	0.011298154	0.020359358	0.051696226	0.8870146	0.018262394	0.011369214
s	0.0053096423	0.0021430727	0.02287424	0.94083583	0.023131318	0.0057057906
i	0.0018235826	0.008013859	0.027144222	0.90424716	0.027842388	0.030928789
m	0.07295362	0.07081172	0.23045392	0.44836318	0.10748824	0.06992927
o	0.010636302	0.048949927	0.07711456	0.13651666	0.2508701	0.47591245
</S>	0.3121644	0.077472925	0.1278932	0.46869203	0.005495036	0.008282304
