 	voglio	che	Maria	che	venga	domani	</S>
i	0.97404104	0.0064303814	0.009435841	0.00079929107	0.00041277386	0.00799104	0.0008895897
t	0.95514995	0.0021026738	0.03508891	0.00031497513	0.00049746654	0.0019606496	0.004885349
è	0.58608586	0.031088538	0.3061665	0.001572601	0.0027925589	0.066307664	0.005986248
l	0.9182654	0.044743385	0.02434119	0.0012171358	0.0011267599	0.006594367	0.0037119042
o	0.29549405	0.6396476	0.02663891	0.004934371	0.0073642507	0.00552888	0.020391896
k	0.0354712	0.7452493	0.0037793769	0.15928786	0.023779538	0.023589388	0.008843321
a	0.0052819583	0.6763951	0.24652074	0.02889154	0.02085591	0.012922166	0.009132488
i	0.052533932	0.43474922	0.034783352	0.28381774	0.059981495	0.059306785	0.0748274
M	0.00272455	0.0069703325	0.93069434	0.029998682	0.003546918	0.020886289	0.005178844
a	0.0040534306	0.039765164	0.54149467	0.28398663	0.07075025	0.041284904	0.018665075
r	0.07782394	0.045786668	0.06589924	0.1789464	0.027665362	0.10308556	0.50079286
ì	0.0014565083	0.009405347	0.60958564	0.17951514	0.023182219	0.17400482	0.0028503167
a	0.002485663	0.032585382	0.16923362	0.7375748	0.041612353	0.012221288	0.004286779
n	0.0077906703	0.022338869	0.15013939	0.18450253	0.057983536	0.5673328	0.009912197
a	0.0014294666	0.0045267087	0.38448605	0.14240889	0.034341358	0.43032736	0.002480117
r	0.013923273	0.026779711	0.01770224	0.14634007	0.18176864	0.123522356	0.4899637
t	0.0007534736	0.0025860132	0.11408112	0.16155039	0.16603523	0.5455866	0.009407186
i	0.00029610188	0.0020018802	0.00043635583	0.032623574	0.04103829	0.00507804	0.91852576
à	0.009699762	0.044307895	0.0013911132	0.08948295	0.60628664	0.17791013	0.07092147
v	0.0013202991	0.0035493	0.027795734	0.0061376397	0.017260205	0.93643594	0.00750092
v	0.00032268674	0.00040928903	0.005505622	0.0025465616	0.034582634	0.9312143	0.02541891
r	0.00019388268	0.00089033437	0.0003429242	0.0062812716	0.06379311	0.022632642	0.9058658
i	4.5210247e-05	0.00019534095	3.263846e-05	0.0005308062	0.011684455	0.011840471	0.97567105
</S>	0.0043414584	0.017416088	0.0044695763	0.079427466	0.31466538	0.26553243	0.31414756
