 	se	vieni	a	casa	ogni	sabato	</S>
a	0.8780136	0.10142455	0.006519854	0.004262548	0.0020500573	0.0021003608	0.005629054
n	0.20799018	0.04744519	0.005263539	0.0031904038	0.007664746	0.008438115	0.72000784
è	0.0024053666	0.940745	0.021459458	0.007601656	0.0046838676	0.017903784	0.005200777
r	0.005881251	0.9264418	0.02214986	0.006983116	0.013316667	0.007001591	0.018225696
t	0.0048811142	0.8682777	0.09429906	0.017434701	0.0034518072	0.0094190445	0.0022365386
i	0.04297183	0.13106784	0.3510762	0.060543727	0.16411035	0.21404314	0.036186956
è	0.015068436	0.08067109	0.49047875	0.27761206	0.096299216	0.037901964	0.0019683833
s	0.01226309	0.08635013	0.091891505	0.61808413	0.04041089	0.027206283	0.12379399
s	0.0018753628	0.012345143	0.1598734	0.7654097	0.02117341	0.035542727	0.003780199
u	0.0070414213	0.0009009145	0.06341619	0.35923177	0.23824349	0.20996492	0.12120124
k	0.0052073	0.0036323373	0.024199296	0.20380881	0.48822632	0.26687017	0.0080557875
u	0.011594304	0.0005731572	0.0036849063	0.08432809	0.21958286	0.65638924	0.02384744
à	0.006198523	0.0076308968	0.042392317	0.074199624	0.3439382	0.49974585	0.025894571
i	0.038154744	0.07475582	0.043343548	0.12991409	0.12750916	0.4252837	0.16103896
s	0.017274959	0.007066719	0.008873623	0.010078855	0.054010876	0.53570175	0.36699316
à	0.0037883776	0.0036477095	0.007082686	0.015625047	0.024180794	0.9390653	0.006610187
m	0.0060055503	0.019482566	0.01892777	0.042478886	0.05239668	0.8158716	0.044837005
b	8.9022964e-05	0.00021613785	0.0006486557	0.001269767	0.008117624	0.9860751	0.0035837428
a	0.00020084322	0.0012901807	0.0057735792	0.016611535	0.035228886	0.8336555	0.10723951
</S>	0.004531264	0.023269104	0.040628314	0.1422829	0.11557644	0.62671447	0.046997488
