 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a	0.8756712	0.105131514	0.005443158	0.00056318636	0.0034866089	0.006011241	0.00034776476	0.0012660435	0.0014997885	0.00057950267
m	0.45676178	0.36505952	0.00658866	0.0053228824	0.00026295916	0.0048793973	0.00026633148	0.001986555	0.010151049	0.14872088
e	0.06550728	0.51909846	0.17539102	0.17190348	0.0015435547	0.0028692775	0.0009069885	0.0053980323	0.023627296	0.033754576
s	0.002697395	0.40320253	0.024097359	0.0048886156	0.049820084	0.010303511	0.16417886	0.016802097	0.025393926	0.29861566
t	0.018069828	0.47463158	0.25268307	0.14019129	0.0030767038	0.01901853	0.0005306962	0.009201139	0.052160773	0.030436458
i	0.010333662	0.66402483	0.26878443	0.020624653	0.004661139	0.0006751287	0.0039036975	0.0042384723	0.022432767	0.00032117736
p	0.0025371048	0.43456164	0.5433467	0.0125542935	0.002214004	0.00048441053	0.0021610034	0.00068567053	0.0012729655	0.00018221655
à	0.010587069	0.09933831	0.46577552	0.13853374	0.027291147	0.025723696	0.0004781384	0.023101097	0.2039483	0.005222969
s	0.0022852798	0.045954224	0.873677	0.05766781	0.016128791	0.0008237032	0.0008388378	0.0009233678	0.0016158794	8.509172e-05
t	0.0007876421	0.046323545	0.61376804	0.27638865	0.044655863	0.0012476299	0.003695941	0.0025772525	0.0092931185	0.0012623149
a	0.0030061645	0.0048810476	0.27151766	0.6000217	0.028872447	0.00036686775	0.07736555	0.007441219	0.0032987082	0.0032285901
ì	0.0054194205	0.038543906	0.32974696	0.04001373	0.48739958	0.021776192	0.02816284	0.027430382	0.020993594	0.0005134362
c	0.006925141	0.0050351694	0.01292343	0.008322459	0.66141886	0.24105665	0.003525233	0.035480972	0.022576774	0.0027353347
h	0.0025782764	0.0015091221	0.084874466	0.06272901	0.6450928	0.14766605	0.0010861716	0.007623465	0.046559602	0.00028106553
e	0.00021150536	0.00042324257	0.012926296	0.010530097	0.91381043	0.008032977	0.037941553	0.008883398	0.00451296	0.0027275016
t	0.001405948	0.0024424319	0.0024988684	0.0023878594	0.6700166	0.25564185	0.033704143	0.016935164	0.014706588	0.00026053347
e	0.017796623	0.00054989243	0.0057741175	0.09043619	0.39487073	0.13212551	0.04071357	0.02055046	0.2925381	0.004644816
l	0.0016915401	0.0039018418	0.007924374	0.00064951146	0.58359224	0.28316975	0.007087299	0.07551387	0.02807587	0.008393736
ì	0.017968617	0.00034540708	0.0016795873	0.007801951	0.30124542	0.46984148	0.049280915	0.028803658	0.10523479	0.017798128
s	0.000321789	0.00047330785	0.0009381771	0.00030957453	0.5310069	0.24711005	0.09937322	0.04544188	0.073560946	0.001464237
o	0.00012424159	0.00018198123	0.00088075356	0.00025412336	0.68253064	0.10292547	0.16679595	0.022333479	0.015490918	0.008482444
n	0.00079375313	0.0037893692	0.0023998788	0.0007738663	0.060823165	0.32747117	0.24107875	0.23464496	0.11502842	0.013196602
t	0.008378374	0.0003397994	0.0008578902	0.0039725816	0.06603405	0.40757462	0.31296954	0.041687276	0.15108225	0.007103592
a	0.000953972	0.0010185007	0.002026423	0.00096748513	0.09677192	0.057341035	0.6382797	0.041219294	0.054769337	0.10665234
à	0.002784445	0.0065794736	0.004289885	0.0017423207	0.10393089	0.16735789	0.19227065	0.35725904	0.15273482	0.011050568
l	0.010479345	0.0017204047	0.0026659456	0.00086289895	0.023960488	0.2806172	0.0035436696	0.36233425	0.30738917	0.0064266236
a	0.00039355556	8.856305e-05	0.00019838176	0.00012184681	0.030172745	0.4631537	0.13116995	0.27782995	0.08021206	0.016659243
t	0.0008614269	0.006219836	0.00369035	0.00090385176	0.009194956	0.0183643	0.16530165	0.47896957	0.24492668	0.07156745
ù	0.015592812	0.00059934607	0.0018868085	0.0057232506	0.012056386	0.04746245	0.2362914	0.294278	0.36688185	0.019227665
c	0.00010133915	6.3803935e-05	6.9925445e-05	8.141735e-05	0.0006240911	0.00093815685	0.0035729518	0.6367884	0.3557967	0.0019631605
h	0.00024275026	4.012204e-05	0.000135688	0.00012300911	0.0033832416	0.0068733674	0.025574252	0.6825419	0.25790069	0.023185043
a	3.7495003e-05	7.694495e-05	0.0001449694	4.0003993e-05	0.0027201846	0.0015381405	0.009662018	0.7157095	0.2044604	0.065610245
v	0.0013192195	0.0014258234	0.00088922144	0.0012262366	0.010656182	0.033033162	0.025613012	0.26853767	0.64264727	0.014652205
à	0.015399019	0.0002362377	0.0007755619	0.005295371	0.0012941802	0.0006332977	0.025081651	0.1580754	0.5043	0.28890923
l	0.00021092981	0.0002796328	0.00029112783	0.00020226333	0.0011996255	0.0014408892	0.0016364186	0.13105372	0.8624752	0.0012102041
o	7.2059025e-05	6.055003e-06	2.3382809e-05	4.1554253e-05	0.00017944445	0.00026525697	0.0016456058	0.19012937	0.34857103	0.4590662
n	0.0016134237	0.005795969	0.0025001327	0.0015427943	0.004747561	0.0055561047	0.07659115	0.12832159	0.76097155	0.012359675
t	0.0024801826	6.297147e-05	0.00024658444	0.0008434969	0.0028485511	0.0006100745	0.006010649	0.051847707	0.70730954	0.22774021
a	0.00018453074	0.00021999252	0.000345423	0.00014418962	0.0057951445	0.0009371397	0.007900845	0.14330009	0.68269295	0.15847978
</S>	0.004259997	0.0029577713	0.0024287133	0.0037645055	0.011861786	0.013338658	0.11841759	0.14006102	0.6030629	0.099847026
