 	l'	ho	sentito	quando	veniva	</S>
t	0.9597185	0.026119245	0.0024461374	0.008996907	0.0018186499	0.0009006027
o	0.8606066	0.04442344	0.017958349	0.008482286	0.007688486	0.06084081
n	0.04156751	0.06813938	0.7002093	0.10939717	0.06445422	0.016232379
ì	0.002967619	0.91751647	0.0045725084	0.050765537	0.020577133	0.0036007897
k	0.085930735	0.30716616	0.54471844	0.058750425	0.0027947556	0.0006394762
u	0.02869643	0.22820511	0.66500694	0.03152722	0.017299391	0.029264895
s	0.04199571	0.04263899	0.62753457	0.2233135	0.057446375	0.007070858
a	0.0016854302	0.005713352	0.19457065	0.6766045	0.12102656	0.00039945962
m	0.039016332	0.02525696	0.29925537	0.5049104	0.07337892	0.058182042
ò	0.001552582	0.0021338772	0.005950063	0.8680729	0.11860655	0.0036840725
t	0.00089084357	0.005440147	0.025344495	0.8246673	0.142837	0.0008201582
t	0.00096370844	0.0014542447	0.015979521	0.7731429	0.19018097	0.018278718
e	0.0036808818	0.009292763	0.029138312	0.22481777	0.48354343	0.2495269
è	0.0070530483	0.032862023	0.044057306	0.08449823	0.8236705	0.007858847
r	0.0010311975	0.006848551	0.0012498618	0.04966075	0.9320204	0.009189237
k	2.6674668e-05	0.00011603224	0.00019139754	0.0042449837	0.9861232	0.00929765
a	0.0012783838	0.003449695	0.006455933	0.040428523	0.5861747	0.36221275
t	0.0012062542	0.00482165	0.007673128	0.00897457	0.9599551	0.0173693
o	0.00051476056	0.00019199881	0.0013817976	0.0018456748	0.9293688	0.066697024
</S>	0.008210384	0.09716021	0.017699277	0.10326566	0.7701381	0.0035264129
