 	non	so	cosa	scrive	</S>
e	0.9020019	0.07275956	0.0015498309	0.0059798164	0.017708903
n	0.0074703596	0.9128694	0.0019255802	0.0020008339	0.075733826
e	0.016666427	0.84365946	0.0037562884	0.1081466	0.027771298
t	0.055959083	0.23898701	0.114992626	0.45843425	0.13162695
s	0.03406111	0.6284859	0.013782397	0.26283216	0.060838398
è	0.09046481	0.05494807	0.15865114	0.64016324	0.055772696
r	0.020219952	0.0039850078	0.48272273	0.4877117	0.00536063
o	0.0007867674	0.009936855	0.9263798	0.050875243	0.012021446
t	0.03438851	0.001251584	0.08569518	0.85099477	0.027669897
i	0.003995056	0.031884268	0.12826768	0.8208286	0.0150243975
g	0.046329405	0.0017196479	0.024149917	0.90562755	0.022173386
r	0.0026277846	0.008815984	0.0015159355	0.9755034	0.011536925
à	0.0066966317	0.004796122	0.030382454	0.9034338	0.05469091
f	0.0029200944	0.0013405118	0.019447882	0.9584205	0.017871097
i	0.0004783114	0.0015338748	0.0058511044	0.959211	0.03292573
</S>	0.11747827	0.02435971	0.31461126	0.517439	0.026111757
