 	non	li	aspettiamo	più	</S>
e	0.91178745	0.011097002	0.010112577	0.026140729	0.04086229
t	0.038534794	0.42276388	0.077842206	0.014293939	0.44656512
u	0.022807904	0.36046135	0.037355635	0.42337537	0.15599972
s	0.04824895	0.6121251	0.13084161	0.12610544	0.08267891
m	0.029765898	0.03391075	0.05558547	0.77970517	0.10103273
è	0.14767224	0.3482095	0.31987065	0.15169662	0.032550976
n	0.008005598	0.12925039	0.7219059	0.046318047	0.09452004
u	0.0018083809	0.1647497	0.81617665	0.00544173	0.011823599
m	0.09728989	0.018762328	0.27593806	0.58604836	0.021961391
e	0.0042310283	0.018410834	0.9290203	0.0319468	0.016391076
p	0.15062304	0.032111924	0.038668808	0.74941033	0.029185811
l	0.002172966	0.00251842	0.01187935	0.9783474	0.005081871
è	0.0056616385	0.02357791	0.06740787	0.8575243	0.045828342
o	0.007701173	0.010291613	0.011384767	0.9309898	0.039632622
</S>	0.25353223	0.014850183	0.03439807	0.6867867	0.010432881
