 	forse	non	li	ha	a	casa	</S>
f	0.99745613	0.0002335606	1.1293073e-05	0.0002967758	0.00036240078	0.00080302963	0.0008368619
ò	0.98000836	0.00038400118	0.00011895047	0.0004969868	0.0014257934	0.0037403917	0.013825559
r	0.99607486	0.0009469313	0.0008204235	0.00065517373	0.0007597916	0.0006641863	7.845947e-05
s	0.9539952	0.006749553	0.002055255	0.0028014139	0.0053124977	0.020951098	0.008134888
i	0.002850606	0.45248938	0.12241221	0.08662822	0.24886465	0.06596827	0.02078664
e	0.0097160535	0.11164575	0.16556834	0.2842086	0.30957806	0.084326915	0.03495633
t	0.12555237	0.02743562	0.5911667	0.016062388	0.028718686	0.008819426	0.20224483
u	0.30016226	0.019455008	0.07172171	0.12651	0.07382715	0.36563239	0.042691603
s	0.0056389226	0.027020164	0.19832554	0.3491024	0.2090241	0.07984145	0.1310474
è	0.07980333	0.0021636821	0.02186313	0.41448218	0.10236285	0.3263555	0.052969337
c	0.001262054	0.0086663095	0.03589153	0.74306196	0.14581728	0.055352505	0.009948304
h	0.00023912545	0.0012829533	0.014541163	0.80251527	0.10747001	0.06617992	0.0077715744
i	2.109353e-05	0.01253749	0.030706324	0.7515155	0.14602065	0.055043068	0.0041558216
è	0.0002873187	0.021015914	0.0024000048	0.52419376	0.33431345	0.114175744	0.0036138557
s	0.08017859	0.0064744228	0.0008207852	0.20385563	0.26689813	0.40506133	0.036711164
s	0.00013443777	0.0003026516	3.230355e-05	0.05716783	0.18332653	0.7548889	0.0041473517
u	4.7773185e-05	0.019662391	0.0075484104	0.2745001	0.34515205	0.33111852	0.021970773
</S>	0.0008051486	0.02900771	0.0024016812	0.072320536	0.20851618	0.6677155	0.019233214
