 	questa	canzone	ee	l'	ha	scritta	un	poeta	</S>
t	0.99374336	0.0030133182	0.0011555443	9.225036e-05	0.00036318362	0.00018984443	0.00023190875	0.00037469767	0.000835851
ù	0.9880435	0.0019297826	0.00072003674	0.0001434107	0.00033397006	0.00025684416	0.00033582243	0.003591703	0.0046450337
t	0.9974241	0.0015743134	0.00024781612	1.9484532e-05	8.334441e-05	0.00012343517	9.49369e-05	0.0004288642	3.6788394e-06
t	0.9874071	0.006867006	0.0014836234	0.00025296476	0.0012462136	0.00012620543	0.0008969089	0.0013253888	0.0003945404
o	0.16602008	0.10285197	0.012224554	0.40652332	0.019302381	0.18026201	0.068809174	0.041324854	0.0026817967
t	0.10741623	0.6921936	0.101377375	0.010833022	0.036033403	0.016861938	0.012179186	0.019632146	0.003472975
r	0.040671606	0.8150273	0.10592284	0.0007637991	0.012426727	0.0002706447	0.0066240677	0.016278954	0.002014086
a	0.015489248	0.6281371	0.023043806	0.10367297	0.021153228	0.14507523	0.035593353	0.024040706	0.0037942925
v	0.011831684	0.91112643	0.057625093	0.0050117113	0.005252614	0.004091495	0.0016379635	0.0032550383	0.00016787466
ù	0.0026048867	0.4486395	0.50971353	0.003419976	0.01714097	0.0003080836	0.0069222	0.009964572	0.00128632
d	0.0017601979	0.6706608	0.30095482	0.015168592	0.008832285	0.00081795506	0.0009186773	0.0007777831	0.00010888432
i	0.00067741564	0.5859881	0.30807805	0.06346295	0.013301426	0.008892092	0.004433473	0.011302337	0.003864277
e	0.003753859	0.025813753	0.63170856	0.059736665	0.22860973	0.0013984324	0.041122682	0.005355336	0.0025009871
e	0.02883319	0.056889553	0.59256816	0.11911996	0.028609682	0.09971071	0.0075617055	0.046833996	0.01987302
t	0.02713668	0.022360535	0.33907178	0.027126536	0.19608477	0.04895732	0.05621262	0.17147021	0.111579604
o	0.013529867	0.018938938	0.34533036	0.21075787	0.17393698	0.14602554	0.012280474	0.060558032	0.018641984
n	0.005230415	0.08037221	0.31403318	0.012694919	0.46325967	0.012228077	0.04002571	0.040326267	0.031829655
è	0.0028144766	0.0041654697	0.124499194	0.16153416	0.58548415	0.06251817	0.028094474	0.01796783	0.012922102
g	0.00091570965	0.0061637904	0.0338801	0.02621777	0.855184	0.016480645	0.044928815	0.012033155	0.0041960087
r	0.00046365315	0.0018242522	0.036504306	0.063704215	0.79192424	0.039957587	0.036744714	0.02627688	0.002600153
a	5.7983183e-05	0.0013425453	0.0075630066	0.09508711	0.43086243	0.25637764	0.11279578	0.04868098	0.047232542
t	0.0012452292	0.0023578093	0.01655274	0.015894854	0.62731415	0.014474566	0.28959584	0.030693475	0.0018713383
s	0.00012328872	0.00010474968	0.0005806335	0.01384175	0.07710692	0.86091644	0.020457834	0.024318269	0.0025500692
e	0.00033510136	0.0009284881	0.0009059398	0.016477311	0.08573541	0.73663837	0.05606599	0.04846264	0.054450713
è	0.0016415704	0.008562555	0.027720846	0.019467225	0.21397522	0.008214598	0.6634113	0.047116496	0.009890112
n	0.0016163102	0.0052327816	0.055198632	0.0011644167	0.31560016	0.0018029335	0.5818032	0.018953823	0.01862769
a	6.9023146e-05	9.990164e-05	0.0006853628	0.0003429776	0.08414309	0.19659014	0.610933	0.102480814	0.0046556294
p	0.0028673236	0.005417284	0.0154022	0.058701165	0.079103835	0.009645839	0.702935	0.09789137	0.028036105
o	0.0007550819	0.0009442486	0.0012091056	0.0075879483	0.016158026	0.24867888	0.4837885	0.23036514	0.010513185
è	0.0023639551	0.011430075	0.017642053	0.007919474	0.063524894	0.0038440588	0.5478186	0.34423205	0.0012248205
t	0.00046846608	0.0018831855	0.013071462	0.0015216651	0.050110113	0.0012055651	0.85707414	0.06221507	0.012450301
a	2.2197672e-05	5.024689e-05	0.00013129423	0.00015363896	0.00078726147	0.0055434224	0.3217292	0.6704965	0.0010861773
</S>	0.0038926976	0.008441056	0.021418242	0.03610494	0.07183825	0.005469569	0.52288646	0.31744364	0.012505178
