 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.99285614	0.0022671837	0.0024575803	6.0521565e-05	1.7591308e-05	4.925326e-05	0.00043279323	0.001858874
ì	0.9962547	0.0008560135	0.0012175029	2.8115688e-05	1.8201774e-05	6.128987e-06	0.00013408219	0.0014852759
n	0.99764	0.0015219317	0.00038474388	7.704606e-05	0.00016070373	7.060307e-05	0.00012376462	2.120657e-05
i	0.91050637	0.06587501	0.0072714672	0.0015221675	0.0007725778	0.0032700514	0.008624883	0.002157488
e	0.39556292	0.08028454	0.17423597	0.047785353	0.046280757	0.10603709	0.14278603	0.0070274025
n	0.34922662	0.008760031	0.096862815	0.02013231	0.2240491	0.043933403	0.013563765	0.24347188
è	0.04000485	0.0018852815	0.94475347	0.00023307108	0.0011845903	0.0002896158	0.005400407	0.0062487163
r	0.09962186	0.018170234	0.6481575	0.0408802	0.08571568	0.04446186	0.045790777	0.017201854
k	0.0061900304	0.0035432584	0.6600027	0.09767233	0.04894481	0.08421059	0.067922056	0.031514198
o	0.00055621646	0.02033924	0.03598856	0.33833978	0.06113383	0.2620388	0.23563023	0.045973342
t	0.012630896	0.025260562	0.46849474	0.03803115	0.047655083	0.042383075	0.34196615	0.023578381
t	0.0041516814	0.002763926	0.3900955	0.13236892	0.07428494	0.24344783	0.14514925	0.0077380114
e	0.0010008339	0.009410176	0.0027652155	0.122896165	0.12043889	0.6472259	0.08651544	0.009747418
e	0.031894375	0.04448464	0.082032524	0.011472782	0.070463546	0.19167554	0.5496155	0.018361043
t	0.0070349714	0.0027317728	0.0064598313	0.0032147025	0.10150826	0.7817057	0.058753498	0.03859127
u	0.0032564704	0.004378282	0.004593965	0.002512153	0.04232509	0.6518721	0.28434396	0.0067179925
s	0.035181887	0.03348964	0.027648455	0.0065032914	0.03914242	0.24821334	0.59721744	0.012603524
m	0.0010405276	0.0031809884	0.0011130436	0.0012427608	0.009811356	0.19154832	0.7685255	0.023537604
è	0.015269468	0.021470284	0.00832242	0.008033463	0.008777725	0.4765374	0.4583248	0.003264516
n	0.0060179997	0.004782009	0.012793952	0.0028110195	0.016241828	0.13632709	0.718395	0.102631204
o	0.0007242244	0.00081489276	0.00026713812	0.0022725924	0.079646535	0.5273734	0.38009015	0.00881108
m	0.012631369	0.10396783	0.065150194	0.04998453	0.00836116	0.032490894	0.70524955	0.022164404
e	2.0324753e-05	0.00033121713	9.644889e-05	0.0035807716	0.006315536	0.37968603	0.60092616	0.009043543
t	0.093639426	0.054255445	0.0637111	0.01744391	0.006299356	0.030581212	0.7322355	0.0018339716
r	9.6272626e-05	0.0008348576	0.0002061003	0.0047201607	0.0021167903	0.06725187	0.91108954	0.013684438
ò	4.2244785e-05	0.00050120853	0.0002254991	0.005943484	0.010013865	0.056424182	0.91991174	0.006937755
m	0.0031641182	0.008843309	0.007592193	0.016508216	0.008283087	0.008966515	0.9152572	0.031385265
e	2.776534e-05	0.00025234348	3.5927424e-05	0.0020714838	0.0075936085	0.02129595	0.96037996	0.008342975
</S>	0.12371302	0.2444434	0.08456922	0.11561184	0.04358298	0.047950633	0.3005421	0.039586805
