 	voglio	che	Maria	è	di	venire	domani	</S>
t	0.9749017	0.006731445	0.008743847	0.0011329465	0.0003211288	0.00040034653	0.00715911	0.00060953846
è	0.9619776	0.0037890107	0.015199567	0.00038727914	0.00025190678	0.0007875425	0.0056349505	0.0119720325
l	0.9827503	0.007966178	0.0073180855	0.0002678954	0.0002756706	0.000104507104	0.0012716198	4.5766592e-05
o	0.91311175	0.048232026	0.011018868	0.0031096155	0.001600889	0.0031864543	0.0027576503	0.01698273
k	0.14646445	0.61907613	0.0050223465	0.14201297	0.032080784	0.020635301	0.027143572	0.007564426
a	0.01709975	0.83833224	0.10473598	0.011561616	0.0009242569	0.009883112	0.009301353	0.008161729
i	0.077836454	0.63194424	0.024373328	0.14964	0.046020366	0.016905725	0.032022938	0.02125699
M	0.0016212848	0.007833545	0.97039795	0.008962324	0.0022760215	0.0005434209	0.006616075	0.0017493268
a	0.006316279	0.15889062	0.49964643	0.19006673	0.023003876	0.06617883	0.037051395	0.018845832
r	0.0944948	0.06243822	0.043026756	0.15248127	0.017131412	0.022899829	0.06428306	0.5432446
ì	0.0025336011	0.027133316	0.5999228	0.24521811	0.043171726	0.0107716415	0.06890846	0.0023403752
a	0.003500942	0.08533436	0.1971535	0.58009005	0.10836863	0.018538449	0.005024768	0.0019893404
è	0.011653938	0.033634733	0.28208116	0.25047743	0.0041669374	0.034780666	0.37616578	0.007039411
n	0.002082955	0.0035426444	0.6607792	0.068708345	0.026573561	0.00915432	0.20569149	0.023467608
a	0.0022815568	0.008174793	0.3073227	0.46166185	0.05027723	0.07760623	0.08114537	0.011530267
r	0.011554278	0.023998296	0.016093312	0.10271998	0.019827975	0.13880415	0.086792774	0.60020924
t	0.0013397293	0.005055377	0.16380394	0.08743971	0.17321755	0.3176462	0.24271706	0.00878043
i	0.00057147694	0.0027549036	0.0006439237	0.01431001	0.45418346	0.053821884	0.0039515723	0.4697628
à	0.010551772	0.04416467	0.0016271307	0.068864964	0.12596512	0.55653626	0.11244087	0.07984924
v	0.0011448258	0.003121027	0.024532486	0.009475411	0.00070256804	0.033333734	0.9214502	0.0062398342
v	0.0003908068	0.0005519509	0.008394995	0.004237772	0.0022856586	0.1587603	0.808928	0.016450489
r	0.00019713174	0.0007675487	0.00036144044	0.0047363425	0.04838033	0.09018161	0.014638583	0.840737
i	4.2735755e-05	0.00018102542	3.1978856e-05	0.00034116214	0.009990427	0.026437633	0.011144339	0.9518306
</S>	0.0020613892	0.008429503	0.0024286206	0.058147017	0.025484163	0.33620417	0.3763807	0.19086438
