 	vengono	vestiti	dai	genitori	</S>
è	0.9954941	0.0013992429	0.0004067416	0.0006566493	0.0020433438
r	0.99960726	0.00021440268	2.4984529e-05	0.00010823823	4.5107758e-05
k	0.9831039	0.008355043	0.0012891243	0.006841351	0.00041051998
u	0.07965868	0.805868	0.06504622	0.030580182	0.018846767
t	0.30374062	0.6249506	0.06346597	0.0072148843	0.0006279676
t	0.041408807	0.7135826	0.020318625	0.21764332	0.0070466297
e	0.0012282857	0.96040493	0.01296747	0.021968864	0.003430399
n	0.08709341	0.5554273	0.32957357	0.025030166	0.0028755234
d	0.0055855797	0.120442405	0.3780034	0.46731845	0.028650224
i	0.0036089306	0.22080089	0.24167304	0.3682886	0.16562851
m	0.015902093	0.13435927	0.76045537	0.031229626	0.058053665
è	0.0014734607	0.027029337	0.6730008	0.27527308	0.0232233
n	0.0024434084	0.0053394656	0.96625507	0.0238401	0.0021220238
i	0.0006756003	0.0046681217	0.94072443	0.042579684	0.0113521395
à	0.031547204	0.033613224	0.806867	0.11443857	0.013533918
t	0.13880737	0.020355906	0.55719185	0.2584003	0.025244562
t	0.00047099363	0.0008814387	0.15582746	0.8103937	0.032426458
u	0.0012930078	0.024497602	0.7664121	0.17057574	0.037221562
s	0.013409163	0.045746114	0.16189261	0.7241632	0.054789003
g	8.859217e-05	0.0010293081	0.007996353	0.95154464	0.039341185
e	0.0014243842	0.031837292	0.048046272	0.798707	0.119985044
n	0.032013796	0.09960653	0.13291438	0.5585223	0.17694302
i	1.6960734e-05	0.0005698809	0.00068543287	0.9399167	0.05881105
t	0.009966586	0.067571744	0.07244148	0.8449574	0.0050627333
ò	0.00040281823	0.018658025	0.0083180135	0.94710386	0.025517246
r	0.016457962	0.04973061	0.052952934	0.833607	0.047251467
u	0.0009032763	0.005552196	0.006502647	0.98097515	0.006066734
</S>	0.15041779	0.1253936	0.20165053	0.32870218	0.19383593
