 	dei	genitori	</S>
à	0.9842228	0.009856453	0.0059207142
t	0.9595933	0.04010027	0.00030642797
t	0.81918794	0.16711627	0.013695834
u	0.2479534	0.42252252	0.32952407
s	0.30606034	0.67988974	0.014049954
g	0.0019930555	0.98752326	0.010483706
e	0.0024617615	0.79147017	0.20606801
n	0.0538387	0.925012	0.021149348
i	0.00078545726	0.9350537	0.06416075
t	0.13099973	0.632043	0.23695727
ò	0.022451311	0.9703574	0.0071912194
r	0.039855953	0.76921374	0.19093034
u	0.012329899	0.6145508	0.3731193
</S>	0.48381478	0.40055946	0.11562574
