 	l'	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.9706635	0.01574129	0.0014947458	0.00766617	0.001871282	0.00050700235	0.00090935326	0.0006570747	0.00048942567
c	0.090743944	0.05633012	0.014375424	0.016475894	0.022048948	0.049294952	0.026237216	0.55900633	0.16548717
h	0.0066017597	0.87647986	0.0059727933	0.022767218	0.0060795527	0.019363606	0.0020836354	0.04650438	0.014147199
r	0.15499818	0.4173181	0.06389022	0.03280861	0.021742174	0.11200086	0.008550841	0.18209909	0.006591905
ò	0.058846984	0.30337495	0.04787254	0.038198315	0.034223747	0.21601821	0.08130802	0.21948823	0.0006689919
n	0.29671648	0.20062527	0.37126517	0.005285727	0.032795597	0.054207563	0.009591159	0.029217128	0.0002959178
o	0.07079111	0.28141773	0.08300531	0.0061438708	0.0067498074	0.09623592	0.004887015	0.42286414	0.02790512
k	0.12574127	0.24101284	0.3409317	0.017366275	0.113959186	0.051827066	0.05884323	0.044053685	0.006264669
a	0.00343569	0.33578584	0.31058413	0.10211469	0.016906168	0.06974362	0.007106339	0.15248854	0.0018350312
m	0.20603141	0.041421276	0.547506	0.034108803	0.072479926	0.027147403	0.019281577	0.033374574	0.018649112
b	0.017172525	0.022518009	0.7856159	0.11960894	0.021698937	0.014443493	0.004826041	0.012863019	0.0012531946
è	0.012792355	0.008729971	0.87442446	0.029910376	0.020346837	0.01785985	0.009778968	0.02580375	0.00035346503
n	0.004130175	0.0040365066	0.80718976	0.100668095	0.05095687	0.0147695895	0.0025683925	0.015488466	0.00019211539
n	0.0011403627	0.018254409	0.7228419	0.15945111	0.026993066	0.018417856	0.004797701	0.0430138	0.0050896946
i	0.0052103004	0.0023359898	0.69473326	0.03907198	0.035379224	0.02042215	0.024722211	0.08961403	0.088510886
è	0.02009007	0.0067316825	0.25318828	0.21045631	0.30725363	0.057057083	0.078484654	0.06520223	0.001536016
n	0.0004600926	0.008670571	0.012485961	0.60457367	0.3271408	0.0059450106	0.03642365	0.0023470104	0.0019532938
a	0.00022617496	0.0012084813	0.06505756	0.5899463	0.2787533	0.03344956	0.014930955	0.01613201	0.00029568333
f	0.014073281	0.0044376906	0.031821616	0.071547076	0.49602452	0.15707299	0.11682413	0.07448063	0.033718005
à	0.0010174456	0.0006887776	0.009420026	0.4081174	0.21692477	0.28287604	0.04405514	0.036304947	0.00059541606
o	0.000732655	0.00036622985	0.0076969415	0.015025401	0.48681718	0.26088452	0.19396928	0.033524156	0.0009835472
p	0.004179239	0.0142756	0.007303944	0.05057666	0.25544286	0.067400314	0.5747304	0.014747261	0.011343784
o	0.00796215	0.002555457	0.0072300285	0.055711366	0.23969775	0.37137562	0.2737988	0.040755495	0.00091334817
d	0.0029646852	0.0042425278	0.028061729	0.01880831	0.2220632	0.17009881	0.49635383	0.04972927	0.0076776845
d	0.0025721919	0.005609917	0.00041785892	0.026457783	0.025288055	0.18155552	0.71041703	0.043715753	0.0039658714
h	0.0037917579	4.7801157e-05	0.0032421337	0.0005696754	0.036218338	0.52029985	0.13482912	0.29281834	0.008182956
à	0.00050294347	7.756831e-05	0.0009127886	0.0004959954	0.012626436	0.16960025	0.6786709	0.12938598	0.007727117
g	0.0008825476	0.0007796857	0.0041197725	0.0022269527	0.020734452	0.12517111	0.67970777	0.15949646	0.006881224
l	7.978604e-05	1.7818724e-05	0.0003674618	9.781615e-05	0.006110231	0.19144835	0.21371625	0.5580422	0.030120073
i	0.0018300279	4.6552097e-05	0.0007772299	0.00010326764	0.0043023364	0.33867568	0.26225644	0.19687541	0.1951331
c	0.0037126555	0.0110581005	0.010805113	0.005699792	0.039262384	0.01986813	0.74604535	0.12293091	0.040617447
è	0.00020725594	0.00031414142	0.0003556504	0.0016595449	0.0064959126	0.055668965	0.60750026	0.30236685	0.025431398
a	0.0007528796	0.0065257293	0.015518071	0.009988898	0.037289128	0.030483456	0.55772007	0.34035763	0.0013641187
</S>	0.01184033	0.034013223	0.029694114	0.025553282	0.06626666	0.04886612	0.61917585	0.130977	0.03361348
