 	vuole	andare	a	Lecce	</S>
i	0.9612693	0.0029374931	0.004341232	0.027154278	0.00429782
t	0.9854659	0.0037168558	0.0007791785	0.0018818548	0.008156137
è	0.93664265	0.0031269721	0.0025373732	0.052346084	0.0053469003
l	0.96989745	0.019678783	0.0048989663	0.0049163117	0.00060853636
i	0.70988643	0.1961899	0.05445483	0.013812947	0.025655951
n	0.027613632	0.48393592	0.30468163	0.18204547	0.0017233968
a	0.0036245168	0.51689523	0.4383918	0.038299937	0.002788528
p	0.015434705	0.2997636	0.35981658	0.31063065	0.01435453
à	0.0006549107	0.109346926	0.7706545	0.11801698	0.0013267267
i	0.003334053	0.2388837	0.58492476	0.1693604	0.0034971347
L	0.0071572284	0.014492974	0.015044001	0.9599066	0.003399283
u	0.0024698584	0.03829424	0.27719095	0.54151195	0.14053303
p	0.016944885	0.018453505	0.05727979	0.89532846	0.01199345
p	0.00048887427	0.0038909402	0.027051074	0.94981074	0.01875836
ì	0.0017079376	0.012339701	0.0827097	0.85803753	0.045205146
u	0.0010115482	0.0019203273	0.004372335	0.980674	0.012021749
n	0.03384435	0.019876268	0.054059915	0.88986456	0.002354905
a	0.0002862033	0.0033097062	0.0117752645	0.33085313	0.6537757
</S>	0.023883257	0.03865676	0.19400921	0.72460693	0.018843794
