 	hai	già	mangiato	</S>
è	0.9922306	0.0027945568	0.002302475	0.0026723829
c	0.99365026	0.002481193	0.0011320008	0.0027365242
h	0.9536244	0.029500086	0.012145626	0.0047298386
i	0.78877115	0.056001943	0.14270024	0.012526575
g	0.24890564	0.41211787	0.33788502	0.0010914216
i	0.01600788	0.7589737	0.19931221	0.025706124
à	0.07838616	0.7532206	0.14729117	0.021102056
f	0.020436596	0.53155595	0.4312529	0.016754512
a	0.0010258725	0.2942881	0.6730658	0.031620234
m	0.037822176	0.061124377	0.8702752	0.030778171
è	0.0018858985	0.015932884	0.9078648	0.07431646
n	0.008625084	0.013486811	0.9654708	0.012417294
a	0.00078397663	0.004230691	0.892973	0.10201228
</S>	0.26270708	0.14722078	0.57382065	0.016251514
