 	non	deve	magniare	la	sera	</S>
e	0.8960984	0.085395165	0.0022101316	0.0034114157	0.0039677145	0.008917225
n	0.0031837844	0.066827014	0.041325998	0.0028382132	0.011632435	0.87419254
è	0.002658226	0.9129531	0.029840069	0.017881611	0.026538737	0.010128392
n	0.0031643538	0.9250672	0.0283776	0.010644213	0.008509642	0.02423707
a	0.0013105052	0.80479056	0.13414268	0.02445463	0.016067283	0.019234369
f	0.013780003	0.052691422	0.28274933	0.6157811	0.031096352	0.0039017042
à	0.0021413793	0.018217346	0.74519426	0.15313041	0.070797294	0.010519251
i	0.0029384373	0.0057449047	0.43087712	0.52479744	0.034040242	0.0016019533
t	0.053958584	0.1934106	0.044453535	0.5056194	0.106038846	0.096518956
o	0.016273577	0.018921768	0.06311953	0.59857553	0.2682955	0.034814045
v	0.043279525	0.061380804	0.0217064	0.55322915	0.2777948	0.042609263
r	0.011275051	0.0035177458	0.036173444	0.088119335	0.8210797	0.03983471
à	0.009850042	0.002197701	0.009403436	0.05744253	0.9000612	0.021045076
i	0.0046725734	0.0027860873	0.007867515	0.038950387	0.9324089	0.013314541
</S>	0.24973868	0.1542659	0.067112215	0.41181928	0.106676154	0.010387804
