 	non	ti	dimentichiamo	mai	</S>
e	0.96418035	0.013383202	0.00083468517	0.0044379095	0.017163865
s	0.009730125	0.58005506	0.013550952	0.013829164	0.3828347
e	0.006618959	0.8682956	0.008155625	0.080397695	0.036532056
a	0.016704459	0.8163919	0.08512229	0.05172935	0.030051973
l	0.01095353	0.072650276	0.2803169	0.055760514	0.5803188
l	0.022739077	0.040810138	0.15102595	0.20830096	0.57712394
i	0.13340883	0.1735573	0.30911192	0.3238032	0.06011874
m	0.15206039	0.4353756	0.1948013	0.18665516	0.031107636
o	0.013088579	0.012968926	0.7999409	0.10729948	0.066702135
n	0.068192326	0.25422722	0.033512175	0.5429559	0.10111239
ù	0.010442818	0.007853535	0.060393535	0.90016836	0.02114165
m	0.004150443	0.028043292	0.035004023	0.9033345	0.029467791
e	0.0017540908	0.002964752	0.077669136	0.9137712	0.0038407617
m	0.040154137	0.078842826	0.049531233	0.8177878	0.013683956
à	0.004906014	0.0011354737	0.009255601	0.9547726	0.029930277
i	0.0044166776	0.062065154	0.008551471	0.92059326	0.0043733283
</S>	0.21526188	0.17425159	0.056601632	0.52104336	0.032841537
