 	le	melanzane	vogliono	girate	</S>
e	0.98267084	0.005119693	0.007164784	0.0030980466	0.0019466645
m	0.9765302	0.00023664132	0.0060714507	0.006495385	0.010666291
a	0.45661542	0.09121215	0.25117132	0.030308269	0.17069283
r	0.15009597	0.04598066	0.028412094	0.4188948	0.35661653
a	0.043579973	0.63215905	0.31103382	0.0009399024	0.012287325
n	0.1750231	0.48641527	0.07850961	0.14885806	0.111193955
g	0.0053538643	0.8641412	0.1275198	0.00025681913	0.0027283272
i	0.007136471	0.9447655	0.03095636	0.011405566	0.0057360986
à	0.08252993	0.77090716	0.11702538	0.023550734	0.005986821
n	0.017794473	0.5852641	0.3447989	0.022106476	0.030036023
e	0.0026176053	0.7610438	0.0926286	0.10646617	0.037243806
e	0.051643346	0.25887075	0.53387666	0.029046126	0.1265631
t	0.023190428	0.039952174	0.416756	0.20551237	0.31458902
è	0.0113714235	0.011492849	0.96005934	0.009127011	0.00794931
l	0.0033525107	0.040766314	0.920135	0.021442516	0.014303608
u	0.00031532758	0.008388407	0.6012674	0.31103915	0.07898971
n	0.025013922	0.075160265	0.82403	0.018602332	0.057193507
v	0.0026390753	0.0031613184	0.7933004	0.12372483	0.07717449
o	0.0011038815	0.0043101013	0.026762275	0.8514726	0.116351105
t	0.13116272	0.26645428	0.3042992	0.23775966	0.060324173
i	0.00277102	0.0053244364	0.19260094	0.28419492	0.5151087
m	0.024810588	0.13420531	0.13803945	0.67893	0.02401472
m	0.0082650725	0.014302238	0.0072471537	0.8848679	0.08531768
è	0.092138715	0.027523283	0.14593962	0.686161	0.048237447
n	0.026190124	0.17947799	0.18460149	0.5384851	0.07124529
e	0.0017339267	0.0043645864	0.026684877	0.8308661	0.13635054
</S>	0.054189026	0.08890086	0.35821477	0.3008332	0.19786216
