 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
u	0.9694025	0.025725508	0.00047353815	0.0022801084	0.00076932425	7.309865e-05	4.782228e-05	0.0008614683	0.00036673207
g	0.07229486	0.36639538	0.007287191	0.015214965	0.03229374	0.018432666	0.0040877243	0.24505432	0.23893918
e	0.0016229036	0.97618765	0.0009283245	0.001309557	0.0025682412	0.00045212943	0.00024842317	0.005716441	0.010966312
n	0.0067278882	0.8804831	0.017657189	0.001672683	0.0012389766	0.056557834	0.010335814	0.006706863	0.018619673
i	0.00023379854	0.9933956	0.00063086004	0.0023661056	0.0010299608	1.4999302e-05	8.758916e-06	0.0009255063	0.0013943312
t	0.008944247	0.96883094	0.007194242	0.0010810392	0.00058275997	0.0058608907	0.00226294	0.00076449674	0.0044784998
ò	0.0003720748	0.94988865	0.0028338993	0.037153687	0.0047822352	4.6605815e-05	3.060302e-05	0.003029646	0.0018625658
r	0.0056872233	0.94827795	0.03381141	0.008109983	0.0024978302	0.0009125097	0.0003009287	0.00017467432	0.00022760262
u	0.0044354266	0.6484187	0.27019188	0.024140809	0.009914114	0.0042929077	0.0038678842	0.009445073	0.025293205
e	0.05165345	0.09677447	0.042203955	0.43388155	0.29672492	0.019713815	0.010856785	0.031645577	0.016545426
n	0.051793177	0.13029827	0.011182387	0.13598521	0.065910086	0.24695243	0.063259505	0.024376132	0.2702428
è	0.0042841695	0.055356663	0.00057686487	0.72490615	0.19420624	0.0018876566	0.0005170352	0.01050789	0.0077573853
n	0.029141445	0.07448686	0.02766443	0.37860316	0.24697219	0.1048745	0.026426336	0.050952572	0.060878545
u	0.00040123714	0.0028721816	0.00161854	0.25667706	0.68083584	0.011889964	0.0044394694	0.029146709	0.012118948
s	0.023083854	0.014740986	0.05475157	0.1342257	0.5289157	0.019359007	0.026128499	0.083135	0.11565967
a	0.0011066617	0.005632304	0.0009092063	0.06778868	0.87649626	0.012980689	0.005629404	0.026739024	0.0027177625
l	0.020655567	0.04725923	0.070272684	0.120881565	0.4431521	0.029321002	0.03890196	0.10649487	0.12306096
l	0.0020076134	0.0056925816	0.0019645926	0.030991236	0.68768996	0.035886656	0.03211083	0.18884003	0.014816596
i	0.0058701383	0.0107557485	0.038923863	0.037777886	0.3546122	0.14202589	0.081567615	0.26866317	0.059803486
m	0.0067168646	0.004810271	0.10534837	0.028328182	0.06697921	0.020067317	0.11717407	0.47581488	0.17476086
o	0.0024935217	0.0024176638	0.0093056755	0.004742987	0.0314416	0.041221377	0.63103586	0.25530952	0.022031879
n	0.020274911	0.05549205	0.031990025	0.051413164	0.08430737	0.0040636444	0.017698264	0.7179092	0.016851338
ì	0.0005942686	0.0010709901	0.0055797845	0.0033977765	0.008836129	0.00536705	0.07364968	0.88432866	0.01717573
s	0.000113476686	0.0019655344	0.002270035	0.005252862	0.01947602	0.00077009836	0.0050513917	0.959027	0.0060735294
o	4.0111965e-05	0.0010156925	0.00061426463	0.0009290669	0.0032765234	0.0034340026	0.042317197	0.94324154	0.005131534
m	0.0027656641	0.007909325	0.080307156	0.069964364	0.118539795	0.036050115	0.020407164	0.6506685	0.013387944
e	2.6027024e-05	3.5138142e-05	0.0015818462	0.0001875249	0.0003329363	0.002895544	0.094122835	0.8672549	0.033563253
m	0.004998719	0.030187706	0.029946957	0.108101845	0.19335154	0.0045642755	0.0022591904	0.62499756	0.0015922078
a	0.00016047702	0.00012584854	0.005097661	0.00039107926	0.00051446026	0.011839143	0.13849244	0.77481675	0.06856211
i	0.0021825111	0.012655516	0.012746779	0.04144415	0.075659394	0.0061338777	0.003672951	0.8444965	0.0010083455
</S>	0.0016367289	0.0052933004	0.122116886	0.055263497	0.07218421	0.014032922	0.022754688	0.6960501	0.010667674
