 	la	pasta	vuole	sale	</S>
i	0.986863	0.002136969	0.0037651188	0.004269809	0.0029649597
p	0.9064914	0.07530046	0.0031683545	0.0050573987	0.009982375
à	0.6807941	0.13011284	0.059579313	0.11794353	0.011570287
s	0.5764355	0.36072162	0.051282987	0.007854608	0.0037053179
t	0.07245178	0.8275042	0.06835346	0.009735097	0.021955522
a	0.0016542141	0.9349525	0.024167411	0.0010512904	0.038174555
ì	0.052293114	0.131662	0.735554	0.07603076	0.004460071
t	0.011674327	0.00207107	0.40789443	0.5684485	0.0099117
e	0.0011421138	0.0020491525	0.84651184	0.13375467	0.016542204
l	0.01927552	0.0134618785	0.3550538	0.5478593	0.06434944
e	0.0003339748	0.0047515337	0.27549735	0.6813233	0.03809383
à	0.013345528	0.006514197	0.094527	0.8442408	0.04137242
l	0.0012683739	0.0011654621	0.010750377	0.98109835	0.00571741
a	9.361836e-05	0.00011832597	0.0076706605	0.94054544	0.051572025
</S>	0.009073562	0.0036830956	0.043764297	0.9186378	0.02484126
