 	la	casa	la	costruirono	i	muratori	</S>
o	0.9637326	0.031030636	0.00095358444	0.00294232	0.00012313579	0.00026979897	0.0009479505
s	0.62669516	0.26315394	0.0033176842	0.0040174886	0.0050785234	0.052322354	0.0454149
p	0.043463018	0.908204	0.006631989	0.011820104	0.0004164531	0.019809563	0.009654891
ì	0.09388511	0.82947403	0.024495827	0.005650321	0.021973263	0.02104765	0.0034737727
t	0.023799147	0.9464844	0.027307697	0.00022554577	0.0019859436	0.0001455629	5.1720464e-05
i	0.016128326	0.82085294	0.10593172	0.0006410162	0.021323012	0.02371945	0.011403562
o	0.0684024	0.36952868	0.46577606	0.009627646	0.07328435	0.0044586197	0.008922121
f	0.03323595	0.07643361	0.7602128	0.04702839	0.026426654	0.006950133	0.049712583
a	0.0038425976	0.023232125	0.878227	0.05779413	0.000994724	0.03380327	0.0021061662
b	0.038464528	0.032307748	0.857998	0.008987875	0.022914011	0.0015638989	0.03776399
b	0.0016931776	0.0047999592	0.39191547	0.50290525	0.0022098431	0.089724965	0.00675133
r	0.0034120139	0.0049850647	0.8863293	0.017593225	0.03198899	0.04765039	0.008040984
i	0.003488221	0.005495333	0.47180822	0.11822837	0.121373236	0.20003964	0.07956688
k	0.030513877	0.037645377	0.34524867	0.097829364	0.35880968	0.027325587	0.10262748
è	0.00049704354	0.00080217107	0.035583492	0.67841035	0.007193616	0.27093542	0.0065778587
t	0.0055881976	0.008590788	0.19072871	0.5223069	0.21411109	0.051566657	0.0071076625
s	0.0023566866	0.0036031883	0.2404028	0.3833976	0.20914312	0.104491256	0.056605324
a	0.0011032291	0.0013020308	0.019454172	0.10194837	0.54909635	0.055660434	0.2714354
n	0.0056436146	0.010653559	0.027087051	0.10382488	0.72691894	0.11487721	0.010994722
e	0.0001531547	0.0002103162	0.0014609506	0.24299002	0.058708776	0.6686408	0.027836012
e	0.026795058	0.04146964	0.116807975	0.034825757	0.2855144	0.41109523	0.08349199
f	0.032611728	0.028238969	0.023950838	0.10147267	0.38674578	0.18284556	0.24413446
a	0.0007792964	0.00081904023	0.0020833325	0.008096298	0.010690111	0.97183293	0.0056990245
b	0.06122	0.08349766	0.13662328	0.027834132	0.0316925	0.6294232	0.029709257
b	0.00017822823	0.00018802244	0.00045667216	0.0009053883	0.016508793	0.966099	0.01566389
r	0.0028606392	0.0042562773	0.011087075	0.009127601	0.074826196	0.833989	0.063853174
i	0.0006772107	0.00081629073	0.0018197111	0.0005248175	0.08239275	0.73421484	0.1795543
k	0.002509344	0.0079536205	0.014803968	0.009147711	0.15267566	0.76716536	0.04574439
a	3.8735474e-05	3.4208133e-05	9.65467e-05	0.00012981314	0.0034892382	0.90241003	0.093801506
t	0.003225928	0.004129808	0.009481634	0.0013936474	0.059846845	0.9196223	0.0022998955
ù	0.000118184835	0.0001445058	0.00025619922	0.00041419972	0.00064111257	0.9793562	0.01906961
r	0.0011291427	0.0022824097	0.003948736	0.0039899293	0.012821662	0.95851547	0.01731272
i	0.0001579174	0.00020590812	0.00046388706	0.00019609927	0.0023014138	0.9833296	0.013345112
</S>	0.016316555	0.037690356	0.04006906	0.032884322	0.41448644	0.3777287	0.08082456
