 	deve	essere	bianco	</S>
è	0.9849539	0.0069476576	0.005075628	0.0030228691
n	0.9967451	0.0024479213	0.00017891057	0.0006279184
a	0.95223475	0.022053072	0.019733673	0.0059785508
è	0.2673236	0.6688421	0.06268242	0.0011519176
n	0.035563756	0.7795209	0.09577592	0.08913943
e	0.007018039	0.82947075	0.13418931	0.029321836
à	0.122807816	0.55093336	0.30984393	0.01641488
s	0.06654024	0.13841935	0.6649758	0.13006464
p	0.00082433334	0.007974827	0.98250175	0.0086991
r	0.0042267833	0.037931357	0.89481056	0.06303139
o	0.00043277204	0.0020292604	0.4759315	0.5216065
</S>	0.06290634	0.10718311	0.75833195	0.07157864
