 	ieri	abbiamo	deciso	che	oggi	andiamo	alla	spiaggia	</S>
e	0.9874005	0.006358317	0.0038861092	0.00037330136	0.00033268845	0.00010060093	0.00035654326	0.00021496703	0.0009770432
t	0.96420616	0.023328962	0.0066211713	0.00071940327	0.0005051816	0.00032313477	0.0016372177	0.0011689502	0.0014898637
t	0.83317167	0.097546265	0.010659151	0.0022205908	0.0019953712	0.0008002937	0.0012803301	0.008443807	0.043882567
è	0.76332456	0.14832447	0.07449444	0.0032081658	0.002294271	0.00016111	0.0040245308	0.0033587383	0.000809703
d	0.18255095	0.599008	0.20965743	0.005621104	0.0023652813	7.3853706e-05	0.0006165867	7.371634e-05	3.3077427e-05
e	0.39461032	0.41343087	0.1446037	0.01817826	0.010209831	0.0017416283	0.003170965	0.01032518	0.0037292598
c	0.022688687	0.55345386	0.37491927	0.029470788	0.0155495815	0.0017816206	0.001186186	0.00041129548	0.00053870975
i	0.0029501792	0.57095677	0.315432	0.04906222	0.0115359835	0.00062565226	0.0003027015	0.04772131	0.0014131598
d	0.0051907976	0.72827154	0.25063872	0.0104243	0.002147779	0.0003761001	0.00094181945	0.000100039964	0.0019089604
è	0.0011673839	0.47361344	0.38224506	0.089811005	0.021497512	0.00048261223	0.0002194008	0.029009704	0.0019537709
t	0.0009314865	0.33436647	0.61870074	0.038218144	0.007231923	0.00013569894	0.0001371475	0.00022988164	4.852302e-05
s	0.00051444443	0.4312438	0.4296123	0.109895825	0.021142537	0.0021480287	0.0021802266	0.0022033285	0.0010594724
a	0.00084996683	0.13328898	0.26704818	0.19969633	0.05413913	0.12043936	0.18279566	0.022046756	0.019695627
m	0.006436503	0.06695351	0.2465562	0.46328285	0.18555364	0.022205528	0.0037264146	0.004993303	0.00029206497
o	0.0008898684	0.061034553	0.14984871	0.6973101	0.046977486	0.011156194	0.012967189	0.016978232	0.00283778
k	0.013829892	0.013952312	0.06259006	0.73156816	0.13634588	0.0080809565	0.0046731005	0.0155785605	0.013381132
a	0.00087923615	0.016184514	0.059663977	0.5668177	0.2756535	0.0074168188	0.0012904931	0.069626674	0.002467022
s	0.006535563	0.023143662	0.11524162	0.625174	0.21531211	0.0028793223	0.0031666323	0.0032874332	0.00525971
ì	0.000903363	0.0042785946	0.013921184	0.3834991	0.4994662	0.021579748	0.0015801819	0.072395295	0.0023763918
m	0.0017458685	0.0036506627	0.02233087	0.2254465	0.72219115	0.014273261	0.0027172016	0.007181174	0.00046324835
m	0.00019740286	0.00043493207	0.00202202	0.1738385	0.4405431	0.31494343	0.0324165	0.029953025	0.005651015
e	0.0004551541	0.000906652	0.005170978	0.16617627	0.49238804	0.2838083	0.023508873	0.023573441	0.004012364
r	0.0008778212	0.0010648245	0.0020661275	0.0040009427	0.1775004	0.7910679	0.0055097183	0.017611891	0.00030037618
i	0.0005456899	0.001072387	0.0022350987	0.098255016	0.3520411	0.31631514	0.036491804	0.18505035	0.007993383
p	0.0137718925	0.026032187	0.04823008	0.107406236	0.38546422	0.2531375	0.07993363	0.06564163	0.02038251
à	0.0007987956	0.0007943303	0.0013494069	0.019177957	0.28208882	0.3416584	0.037539206	0.31373242	0.0028606132
m	0.0024223211	0.002436921	0.0071566068	0.0203816	0.33285612	0.47938782	0.08814925	0.06614883	0.0010605656
e	5.4301483e-05	7.116385e-05	0.000121312776	0.0019595402	0.05011964	0.7661587	0.15302525	0.02526516	0.0032249747
s	0.0068270653	0.0075882077	0.017596558	0.01235103	0.05200384	0.6173027	0.063630395	0.21472105	0.00797906
t	0.0005431267	0.0005444715	0.0009784317	0.0036191999	0.037377868	0.45952386	0.32226261	0.17085382	0.0042966893
i	0.00068903854	0.0007345648	0.001571025	0.0029303036	0.034509324	0.6609716	0.22368391	0.057883255	0.017027004
s	0.0040776487	0.006036164	0.016352173	0.008295121	0.06049557	0.5769649	0.049585078	0.26420784	0.013985436
p	0.00023886512	0.00020813374	0.00034555743	0.0011120476	0.008409841	0.1315876	0.4930394	0.33291888	0.03213966
i	0.00069246127	0.00051600585	0.0011671312	0.002627586	0.021733705	0.34595937	0.4927744	0.1205306	0.013998732
à	0.003308126	0.004240841	0.011461147	0.009526622	0.041707054	0.23035549	0.08002292	0.6081379	0.011239849
g	0.000703754	0.0011020544	0.0020918485	0.0018331201	0.012161373	0.053689774	0.017818702	0.9060712	0.004528347
g	7.0165464e-05	6.142276e-05	0.000120438046	0.00016273883	0.0012969555	0.12278041	0.39677116	0.4752453	0.0034914461
i	0.00012927581	0.00017412876	0.00044818866	0.00043753505	0.002940503	0.19349635	0.2871918	0.41320887	0.10197338
a	0.00130581	0.001653309	0.004691551	0.0018943851	0.0095425425	0.07522136	0.020738842	0.856127	0.028825136
</S>	0.009633565	0.007944251	0.023370199	0.040066082	0.11102644	0.09571788	0.017904256	0.6901734	0.004163937
