 	era	molto	stanco	</S>
ì	0.97475815	0.01791752	0.006196725	0.0011276323
o	0.9920122	0.006141144	0.0011783227	0.00066839374
n	0.12363675	0.026566032	0.037721846	0.8120754
e	0.2231944	0.5198939	0.014301267	0.24261048
p	0.052584566	0.80484146	0.1107225	0.031851493
o	0.026464924	0.8085048	0.10717657	0.057853688
d	0.028868407	0.65888345	0.21964826	0.092599876
d	0.013429673	0.58937836	0.39137313	0.0058188504
h	0.009031214	0.7175227	0.26119044	0.012255597
ì	0.0060748374	0.31228116	0.6697183	0.011925706
s	0.008515407	0.17627582	0.7806215	0.0345873
t	0.010432377	0.08321658	0.7696169	0.13673416
r	0.004028467	0.015820872	0.71257067	0.26757994
à	0.0016450277	0.0033777428	0.64797765	0.34699956
k	0.0020208524	0.007631299	0.9759325	0.014415342
k	0.0016687345	0.0021396193	0.8366322	0.15955943
o	0.0042718328	0.0027154793	0.30531728	0.68769544
</S>	0.0543195	0.26812756	0.63573956	0.041813366
