 	se	si	era	vestito	la	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.7366648	0.1549967	0.08044929	0.0034542112	0.0036298726	0.001451104	0.0010944329	0.0049879896	0.006136499	0.0025087371	0.0025343376	0.00209211
n	0.080429755	0.18172878	0.030604824	0.00089107547	0.0020749802	0.00031738356	0.00021043344	0.0018643192	0.00385214	0.01747563	0.027169453	0.6533813
ì	0.00092299154	0.049413767	0.9103395	0.0051798224	0.0021005955	0.00074542785	0.00027271805	0.0027687459	0.003056152	0.0028244616	0.018955505	0.0034203604
c	0.0019634005	0.48371378	0.45878017	0.0051301275	0.0024854194	0.002562269	0.0016715289	0.0006135136	0.0007484393	0.0067692795	0.03307181	0.0024901882
h	0.0025941504	0.3480781	0.57002693	0.035409916	0.0025441886	0.00031149687	0.000113078866	0.0012301794	0.0016406985	0.00013110838	0.037429173	0.0004908651
a	0.0041780504	0.34090582	0.21799874	0.32092872	0.008847554	0.016264578	0.025533669	0.0011784355	0.00093640445	0.03650754	0.026272157	0.0004483642
n	0.0048722974	0.032784387	0.33295393	0.48400232	0.09273432	0.013706507	0.0030209164	0.0053858357	0.0036365364	0.0058432673	0.02100482	5.4866454e-05
d	0.008447774	0.0046129017	0.37590462	0.28844997	0.011201081	0.0042729815	0.003913834	0.01110692	0.019833554	0.0017746573	0.2691908	0.0012909176
ì	0.06387996	0.005515649	0.02837084	0.5850206	0.028440217	0.04336578	0.09066505	0.004525673	0.0037990962	0.035452764	0.107464686	0.0034995812
s	0.0018255714	0.0033533957	0.01047147	0.76020235	0.16916576	0.028728832	0.009470105	0.0018177747	0.0010127816	0.0036202585	0.010297137	3.455773e-05
o	0.0025781316	0.0022768155	0.05300133	0.5639477	0.115882635	0.09676513	0.036386676	0.005114671	0.0062600733	0.015705336	0.09616302	0.005918429
n	0.012544381	0.011434546	0.0036971425	0.069832966	0.68879676	0.11254772	0.041594427	0.012608074	0.007591121	0.013325637	0.023778245	0.002248913
t	0.008862474	0.0012534139	0.025672864	0.21677095	0.3631764	0.026655678	0.0048952657	0.0440808	0.0371457	0.0021854474	0.26744765	0.0018534346
a	0.029294303	0.004020575	0.0020735736	0.07164265	0.3161913	0.14669417	0.094072446	0.0072588166	0.0058960696	0.070254095	0.24357124	0.009030714
i	0.009042833	0.0087109	0.0025952999	0.028726345	0.70994604	0.14132749	0.044949576	0.007818941	0.004323042	0.01277201	0.029581958	0.00020559528
k	0.08012026	0.021188226	0.014051819	0.003147194	0.13240594	0.45458156	0.13883469	0.011643015	0.0046926495	0.07621234	0.0345946	0.028527768
i	0.09887958	0.0024789276	0.006363293	0.0036111365	0.33791426	0.06983318	0.03074109	0.18625684	0.15265757	0.0026072448	0.10266149	0.005995422
a	0.004802175	0.010681611	0.010074028	0.0022757484	0.37077895	0.43552133	0.040760856	0.063559905	0.011488027	0.008193558	0.02859822	0.013265599
t	0.03913997	0.008248214	0.006530141	0.0011886175	0.014710848	0.4273628	0.32104832	0.012892746	0.0052758646	0.079994455	0.06233246	0.02127559
è	0.051929083	0.0026876975	0.005077711	0.00080184714	0.091199696	0.10115965	0.032882817	0.39513683	0.24582522	0.0027430847	0.068652526	0.0019038538
r	0.0012662893	0.0044693397	0.011682967	0.00089895364	0.08390773	0.44709346	0.0354287	0.29120728	0.06824344	0.007299926	0.045284256	0.0032177006
a	0.00020148278	0.0001893747	0.001085823	0.00025139828	0.077657394	0.6394783	0.100720175	0.11364065	0.05400376	0.0033760301	0.008272517	0.0011230886
i	0.0042601344	0.006193578	0.0036263287	0.004337557	0.047837105	0.37797937	0.3290202	0.09596754	0.028684653	0.017958693	0.066840835	0.017294077
n	0.08176385	0.014718363	0.010509266	0.0027464249	0.0058190133	0.12543543	0.15513116	0.23432662	0.11177664	0.14285792	0.07691349	0.038001824
ì	0.036909536	0.0012419736	0.0012420191	0.00036807937	0.005702401	0.02471115	0.01342541	0.46349588	0.41950044	0.0038925477	0.028280238	0.0012303198
c	0.0008571292	0.0021947708	0.009355902	0.00063314766	0.009636206	0.05679341	0.010687175	0.6575779	0.18436792	0.007660514	0.056911957	0.0033239613
h	0.00024276567	0.00013274087	0.0011791078	9.423183e-05	0.0052463473	0.21221209	0.062934324	0.41154438	0.28646737	0.009147292	0.00840718	0.0023921584
a	0.00018185713	0.00040616296	0.0007053623	0.00018691167	0.0051522106	0.3416641	0.22160259	0.22227801	0.0389259	0.06282873	0.04512545	0.06094269
p	0.0012526754	0.001176129	0.0014929889	0.0017501981	0.008136464	0.029118612	0.030037215	0.2734293	0.48417082	0.09762839	0.068527095	0.0032801526
à	0.0075931163	0.0001652521	0.00033220687	0.00010599717	0.00050325657	0.025098372	0.043025985	0.2656825	0.4886034	0.058291025	0.09150578	0.019093126
r	0.000243659	0.0006878498	0.002348088	0.00038915066	0.0021219386	0.013170173	0.009557015	0.41259503	0.35871226	0.13451543	0.06348929	0.002170121
o	0.000224996	0.00016306227	0.0013431659	0.00016015301	0.0013483149	0.047988437	0.047343038	0.41596705	0.31814894	0.12772	0.016255975	0.023336785
n	0.0060875784	0.013140055	0.005009335	0.012498776	0.016329585	0.027132103	0.10305155	0.06825708	0.16305995	0.098593436	0.44293463	0.04390585
t	0.0048713945	0.00022665737	0.00033052557	0.00010958501	0.00032979835	0.0050150314	0.006700388	0.089277506	0.37905064	0.39058766	0.09057239	0.032928456
a	0.0003477212	0.00097381976	0.0023487494	0.00033686837	0.0030946129	0.016644314	0.0074434644	0.05578599	0.14946343	0.36163926	0.057052143	0.34486967
s	0.009914623	0.0042950097	0.011267525	0.008051657	0.026343817	0.064434774	0.064965695	0.0931255	0.16309118	0.11918892	0.36547574	0.0698456
t	0.006444682	0.00011176883	0.00015084757	4.7281737e-05	7.535343e-05	0.00042810902	0.00095460017	0.018265646	0.08973647	0.45346728	0.12777697	0.3025411
i	0.0005167766	0.0010229221	0.0013497756	0.00033311633	0.0023723436	0.008747718	0.0044318745	0.01596495	0.066223554	0.45301014	0.047955126	0.39807165
n	0.013754393	0.006104325	0.011885461	0.009521173	0.019984426	0.06096137	0.092793256	0.06346302	0.057923403	0.108530775	0.5093018	0.045776665
a	0.0026357637	3.715881e-05	4.7709673e-05	1.7701637e-05	1.8277122e-05	7.341234e-05	0.00013769238	0.003081783	0.014651451	0.4315407	0.09621755	0.45154077
g	0.0014825175	0.0019921353	0.0010700789	0.0011933886	0.0013548606	0.003606113	0.009507984	0.0049116616	0.005346204	0.046182264	0.92010313	0.0032496178
l	0.0046217344	0.00024558816	0.0003026292	5.8312195e-05	0.0002993406	0.00072281464	0.0003240949	0.0036201775	0.029284008	0.49408	0.3758766	0.09056468
