 	ha	che	sono	usciti	</S>
è	0.9934123	0.0063993395	6.850783e-05	0.00011308634	6.800689e-06
n	0.4014502	0.41613507	0.09866673	0.08367789	7.011007e-05
a	0.7706968	0.19652656	0.032582853	0.00017862947	1.5186603e-05
g	0.09939572	0.15457053	0.7348522	0.010480424	0.00070116366
u	0.008239184	0.7181401	0.2692517	0.0042171967	0.00015176545
ì	0.0032861156	0.035963666	0.93445355	0.023442993	0.0028537433
k	0.0013347804	0.016568348	0.86666346	0.114844255	0.00058921584
a	0.0006451469	0.022216989	0.86771053	0.10668895	0.0027384432
n	0.08230055	0.020031348	0.13426779	0.6803566	0.083043724
e	0.0010562981	0.0023588345	0.03452686	0.90199184	0.060066216
</S>	0.0009296653	8.759066e-05	0.003554788	0.06484678	0.9305812
