 	io	non	ho	niente	da	mangiare	</S>
e	0.90967697	0.08939934	0.0008532061	6.0758994e-05	2.8187903e-06	5.951035e-06	9.988626e-07
v	0.9422373	0.050136678	0.0023664902	0.0051124766	0.00013053305	1.42638e-05	2.1808592e-06
ò	0.75432664	0.16616446	0.0075766398	0.06632244	0.003589967	0.00073618005	0.0012836325
e	0.019874217	0.9323395	0.04068308	0.0061654854	0.000686789	0.00019493132	5.603762e-05
n	0.038941916	0.8983721	0.035057172	0.02626362	0.001276157	7.37512e-05	1.5174985e-05
è	0.006113048	0.08312088	0.82217	0.06705302	0.008177339	0.013194805	0.0001707924
c	0.0016911115	0.04208384	0.024211163	0.9292798	0.0026955367	3.3764558e-05	4.650259e-06
h	0.0013269006	0.011153565	0.7339945	0.22633484	0.026414592	0.0007441967	3.1400887e-05
o	8.39873e-05	0.0004254348	0.036023535	0.9599449	0.0032353909	0.00021902849	6.77846e-05
t	0.0038130758	0.07853164	0.04014794	0.70670253	0.16737562	0.002692492	0.0007366878
ì	8.81846e-06	0.0004954992	0.016181136	0.4569827	0.516112	0.010148373	7.140532e-05
p	0.0003298248	0.003695577	0.0021522625	0.3482477	0.63222337	0.013126803	0.00022454686
o	4.9394508e-05	0.00036985907	0.0050079236	0.07804324	0.8152886	0.10093489	0.00030606985
t	0.005725357	0.020969005	0.0036739872	0.018978912	0.6471502	0.24604079	0.057461735
i	6.7971865e-07	1.5879676e-05	0.00021104269	0.027341302	0.51286536	0.4554451	0.004120584
n	0.00042579012	0.00048911286	0.00010976063	0.0023879164	0.34549084	0.47531188	0.17578466
a	6.65069e-06	0.000108749744	0.00037171826	0.011426957	0.41160005	0.5225639	0.053921998
f	0.00020967472	0.00016434517	6.9800815e-05	0.00023313425	0.03219713	0.8011745	0.16595142
à	6.7620917e-06	2.6770172e-06	3.6952897e-05	0.0006544488	0.035094324	0.7038847	0.26032016
o	1.1102177e-05	6.8602116e-05	1.4586106e-05	2.2411918e-05	0.0026430383	0.9810246	0.016215675
</S>	0.00027140448	0.00017008891	0.00010630734	0.0001951128	0.0002212601	0.04827684	0.95075893
