 	non	ho	cosa	a	fare	</S>
e	0.7966225	0.20156547	0.0012688604	0.00019421805	0.00032612277	2.2919106e-05
n	0.83893967	0.10410294	0.053705472	0.00061225897	0.0025021746	0.00013754587
è	0.09291154	0.87528884	0.02934824	0.0018007025	2.1205453e-05	0.0006294955
c	0.026632493	0.25229517	0.71014935	0.004460854	0.00643028	3.1853386e-05
h	0.0012606332	0.66548014	0.2431143	0.09001873	8.57441e-05	4.049094e-05
o	1.5635242e-05	0.037449293	0.92941976	0.032672606	0.00043440983	8.295178e-06
t	0.0029246188	0.03314402	0.60626537	0.3432322	0.006843009	0.0075907726
i	1.6592232e-05	0.0036882674	0.27630302	0.7170351	0.0021036307	0.0008534216
k	0.0062002065	0.00071663066	0.016566793	0.26602697	0.29845124	0.41203812
à	0.0001366372	0.002634609	0.021760965	0.7984022	0.08311341	0.09395224
m	0.0008692701	0.00071466854	0.0018250169	0.05504823	0.85574645	0.0857963
i	9.472196e-05	0.0002781504	0.003849778	0.9001762	0.0790572	0.016544037
</S>	0.000594864	0.00024426758	0.00020108183	0.008249659	0.14624746	0.84446263
