 	ti	dico	una	cosa	però	non	parlare	di	queste	cose	con	Maria	</S>
s	0.99656844	0.0034141175	1.4457228e-05	9.3470567e-07	8.220524e-07	1.1017453e-06	4.3128075e-08	4.820137e-09	6.4761565e-08	5.610708e-09	2.2210163e-09	2.6136944e-09	1.5987627e-08
u	0.88024575	0.119225144	0.0004767277	4.355168e-05	8.201173e-06	2.6971333e-07	1.048088e-07	6.848289e-09	2.722799e-07	2.5863466e-08	4.989466e-10	6.55569e-10	1.6039943e-09
l	0.18666257	0.78993744	0.022246297	0.00016101387	0.00015391065	0.00083500444	1.3637587e-06	3.0514946e-07	1.1367798e-06	1.084472e-07	1.1350481e-07	6.9306196e-08	5.9660533e-07
è	0.0824505	0.9059411	0.010666641	0.00069838855	0.0002218196	1.2528744e-06	7.122876e-06	1.2172482e-06	1.1160573e-05	6.5171196e-07	5.6275615e-09	7.274706e-09	7.811635e-09
o	0.022049658	0.70007443	0.27600583	0.0014138742	0.00010119243	0.00035445	1.01600726e-07	2.1713633e-07	2.1616773e-07	1.0900588e-08	2.5306512e-08	3.217184e-09	6.681981e-08
è	0.028498763	0.3952854	0.5438143	0.026128732	0.0023832906	0.0038373328	3.0905078e-06	2.468441e-06	4.3865926e-05	6.87858e-07	4.4217052e-07	7.7859646e-08	1.5576727e-06
n	0.0013238508	0.044537794	0.9455539	0.0063248645	0.0006559786	0.0016027902	1.5222467e-07	1.9987223e-07	3.9908528e-07	2.997659e-08	4.0629942e-08	5.2263274e-09	4.2878753e-08
a	0.0023020548	0.058725324	0.92824143	0.00931794	0.0013029546	2.0077928e-06	9.448915e-05	3.4209613e-06	5.4789666e-06	4.485902e-06	2.79179e-08	4.6399936e-08	2.7454755e-07
p	0.05738866	0.07907409	0.5718219	0.17342833	0.106789626	0.010462482	5.1288393e-05	4.03624e-05	0.0008953231	2.7443824e-05	8.519482e-06	1.3228289e-06	1.0605874e-05
r	0.0009124409	0.01447169	0.23537087	0.57345676	0.1724	0.00018443179	0.0027202382	0.0002317075	0.00024010046	1.0199778e-05	7.5122466e-07	6.7269696e-07	1.8288651e-07
à	0.0004025016	0.0061143055	0.14966434	0.7443288	0.09368632	0.0029877725	0.0027601705	4.5690704e-05	9.824666e-06	1.0064078e-07	4.4198305e-08	6.818658e-08	1.6293331e-08
m	0.0003377626	0.007480738	0.85906214	0.066763446	0.052734356	0.0136036975	1.2024469e-05	2.5590268e-06	2.5851605e-06	2.430286e-07	5.5313212e-08	1.7864238e-08	4.234955e-07
a	0.0026271883	0.013514743	0.33693323	0.26164472	0.3730571	0.0045986203	0.0073466892	0.00021472077	3.053774e-05	2.049646e-05	1.7451704e-06	3.270217e-06	6.939039e-06
p	0.02109082	0.01095959	0.041713662	0.11001853	0.7428824	0.06892461	0.0018291774	0.00041780196	0.002067077	8.497797e-05	5.5934556e-06	1.1056559e-06	4.675264e-06
e	0.0007202497	0.0010932693	0.004516556	0.13630646	0.6792846	0.004319531	0.16036919	0.011802287	0.0014457382	8.069442e-05	3.252095e-05	2.6867567e-05	2.1504723e-06
r	0.00010858467	0.00020023117	0.0077572516	0.05670477	0.8419888	0.081010304	0.010612097	0.0014882593	0.000127849	1.5966895e-06	1.69041e-07	1.1966933e-08	7.605721e-08
ò	5.9944297e-05	0.00010655707	0.0009684688	0.058998886	0.7663302	0.009528341	0.14126277	0.020874266	0.001827783	3.2610238e-05	7.2298176e-06	2.606117e-06	3.6611493e-07
m	0.00011038045	0.00021874117	0.0015878862	0.02716684	0.90560067	0.044424653	0.012175489	0.0039755655	0.0047344193	4.956207e-06	4.060627e-07	2.9031828e-08	2.4879029e-08
