 	dei	genitori	</S>
à	0.9908048	0.008012361	0.0011829435
t	0.87045807	0.12873004	0.00081185956
t	0.98213	0.017850589	1.9492134e-05
u	0.9126974	0.08111658	0.0061860816
s	0.8660696	0.12245679	0.011473661
g	0.044018347	0.93576413	0.020217478
e	0.27263826	0.7138026	0.013559163
n	0.011350138	0.5659757	0.42267412
i	0.0028197772	0.8374859	0.15969437
t	0.0019121203	0.43481222	0.56327564
ò	0.0006230764	0.8382843	0.16109261
r	0.001409338	0.677242	0.32134864
u	4.8150865e-05	0.9838246	0.016127206
</S>	0.0032384116	0.06302212	0.9337395
