 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.86153406	0.13726489	0.0011932718	3.2965083e-06	1.2953832e-06	2.3213659e-06	3.3288566e-07	1.6120643e-08	4.7212417e-08	1.6767332e-07	2.5382997e-07
v	0.9398611	0.057133127	0.002179019	0.00031420408	0.00019220689	0.00022837632	8.764261e-05	1.0810122e-06	1.0374214e-06	1.6581978e-06	3.934957e-07
ò	0.7358308	0.23826523	0.0072042197	0.005428595	0.008569995	0.003089992	0.0009720097	0.00018157427	0.00030238432	9.224845e-05	6.290053e-05
e	0.019395048	0.9444435	0.01933129	0.012525996	0.0013963747	0.002417767	0.0003570794	1.52633e-05	9.681569e-05	8.286145e-06	1.2528433e-05
n	0.040863123	0.89646554	0.051400967	0.00528751	0.004081908	0.0017247135	0.00014924549	3.573776e-06	1.7530987e-05	2.5077074e-06	3.351091e-06
ì	0.005350256	0.08266515	0.8308995	0.063281916	0.014723633	0.0027821187	4.2060332e-05	0.00014672744	8.7497385e-05	9.447104e-06	1.1686618e-05
m	0.009406996	0.1615123	0.18694788	0.55598754	0.077609494	0.007873752	0.00062907796	5.799576e-06	2.3202572e-05	1.7883629e-06	2.1498129e-06
e	0.003666768	0.0112707745	0.6572232	0.29429418	0.023816738	0.009568908	4.5728157e-05	6.541591e-05	2.8237688e-05	2.043985e-06	1.7879212e-05
g	0.013836161	0.0971481	0.0135088535	0.08753332	0.73519933	0.051473312	0.0011448871	3.846396e-05	0.00010453374	4.063361e-06	8.976373e-06
r	5.631063e-05	0.0018703274	0.034151834	0.42378324	0.51967	0.019950435	0.0004938194	1.755691e-05	5.629868e-06	6.229423e-07	2.2210378e-07
a	2.8766706e-05	0.00063024636	0.0095346	0.18996432	0.73266035	0.042512614	0.023995712	0.00057616987	2.912143e-05	6.259231e-05	5.5373366e-06
m	0.00020183368	0.002666519	0.000964308	0.019201538	0.90831316	0.064583786	0.004026055	1.6377731e-05	2.3262626e-05	2.157526e-06	9.980196e-07
m	4.5718694e-05	0.00032691789	0.008919	0.2442571	0.7091715	0.022845576	0.010488254	0.0030730767	0.00026565933	0.00027516356	0.0003320493
è	0.0005114205	0.0061938507	0.008928433	0.25554326	0.5972612	0.07514649	0.038996458	0.0155869005	0.00086203334	0.00087371864	9.6260905e-05
n	0.00033226868	0.021300292	0.0008523797	0.060558952	0.29154724	0.5973051	0.028019072	5.6939665e-05	2.2836733e-05	2.415376e-06	2.523452e-06
a	0.002061152	0.019127978	0.015566457	0.1099367	0.20637167	0.5600623	0.07226745	0.010698343	0.000953271	0.00010007105	0.00285458
m	0.00851331	0.0058770417	0.005724723	0.001549491	0.13578536	0.6559973	0.15537098	0.024561299	0.0063432115	0.00021276191	6.462305e-05
a	0.000261259	0.00017734988	0.00090450334	0.0011860118	0.12093203	0.34248278	0.23436847	0.2563556	0.022757847	0.017181268	0.0033929034
i	6.4916196e-05	0.00045713902	3.400556e-05	4.1040294e-05	0.033911824	0.80623883	0.09337432	0.054448456	0.011360951	5.225608e-05	1.6318209e-05
a	0.0043920386	0.002920408	0.0004386017	0.0003768213	0.0073938346	0.27879515	0.04357787	0.16157685	0.49953005	0.0003877474	0.00061069796
n	0.009231737	0.0019590275	0.0015605077	0.00135929	0.017388545	0.20649217	0.17950957	0.35303938	0.22722577	0.0019932862	0.00024071644
g	6.9505215e-05	1.1039533e-05	0.00040648968	0.0002005485	0.0017798275	0.010587442	0.05834116	0.7214887	0.15479279	0.04596524	0.0063572796
r	8.222206e-07	5.1389645e-07	1.0601304e-05	2.5401028e-05	0.0005886873	0.0027269993	0.0028415213	0.86174893	0.06313411	0.0605273	0.008395096
à	3.2168268e-07	5.3810663e-07	9.056204e-06	5.5826902e-05	0.0011250731	0.0031648295	0.003020587	0.87770617	0.06727691	0.044000678	0.0036399774
m	0.00015760925	0.00015344241	6.420111e-05	0.00023233224	0.0015384023	0.04613161	0.070948794	0.4095089	0.40664768	0.058864854	0.0057521816
m	7.0393266e-06	1.8527743e-06	1.6048583e-05	1.6810322e-05	0.00020147084	0.005234884	0.023430647	0.20332114	0.25041717	0.5162043	0.0011486361
a	0.000115719566	1.1846575e-05	0.00043627317	0.0009946122	0.0009166131	0.00087101536	0.0017752461	0.30231223	0.44127762	0.16619176	0.08509707
t	0.00054023636	0.00052378234	0.00046549947	0.0013209853	0.00058376	0.0011616863	0.0010094927	0.033677734	0.48445255	0.16614075	0.31012356
a	8.039273e-08	2.8260658e-08	2.9900546e-06	7.655014e-06	1.528092e-05	0.00012439584	0.0010574312	0.14072545	0.32050338	0.52239794	0.0151653085
d	5.0797484e-05	4.3506694e-05	1.2336964e-05	2.0678759e-05	4.5164925e-05	0.00023322985	0.00021531545	0.014856354	0.47477335	0.26889727	0.24085204
e	2.401299e-06	3.1324237e-07	2.0016638e-05	1.1289745e-05	1.241582e-05	2.6279826e-05	0.0003028226	0.006208828	0.11000217	0.805112	0.078301415
r	8.017698e-06	7.854872e-06	2.9472546e-06	2.6533373e-06	9.8205755e-06	6.0402872e-05	4.0781815e-05	0.003300531	0.08130224	0.3990883	0.51617646
f	1.3802818e-06	3.1036933e-07	2.7696033e-05	1.4998193e-05	9.883625e-06	1.175642e-05	0.00012481849	0.0024477986	0.056247097	0.82704335	0.11407099
ù	1.6209739e-05	1.6085203e-05	3.6447364e-05	0.00013648205	4.8866383e-05	3.3808687e-05	4.548432e-05	0.0016849805	0.027410291	0.16352743	0.80704397
m	5.334047e-06	1.8061599e-05	2.157662e-05	3.966081e-05	1.9193936e-05	5.0740204e-05	0.00016994518	0.00038630923	0.004745433	0.9688747	0.025669158
m	2.2130137e-06	1.0173783e-06	3.6927506e-06	2.0430673e-05	3.3499205e-06	4.5269085e-06	3.23762e-05	0.00010773609	0.004581898	0.8421158	0.15312685
u	1.8570589e-05	3.77143e-06	0.00012342003	0.00043533248	5.652257e-05	1.475094e-05	8.581308e-06	0.0016597776	0.045064177	0.15589745	0.79671764
</S>	2.7791031e-05	2.6970023e-05	4.7656136e-05	0.00015220206	2.959559e-05	1.8941086e-05	5.545552e-06	5.572231e-05	0.0008752817	0.03857555	0.96018475
