 	non	sono	ancora	vestita	</S>
e	0.8132874	0.18600345	0.00025988015	0.00042532166	2.3902188e-05
n	0.3423686	0.64960927	0.00765106	0.00033710717	3.390974e-05
ì	0.14963578	0.8435061	0.004589257	0.002000833	0.00026806924
m	0.009044825	0.60644454	0.3843312	0.00017161376	7.883504e-06
e	0.0028815551	0.8038116	0.19020922	0.003087222	1.0484454e-05
a	0.031700313	0.07614071	0.8832544	0.00784374	0.0010608628
n	0.00037016108	0.00088135875	0.9975101	0.0011877569	5.0628394e-05
k	0.001604266	0.024235122	0.709182	0.24502413	0.019954393
ò	0.0034944653	0.12401888	0.70688534	0.026114494	0.13948682
r	0.0058953385	0.038629487	0.8653521	0.08708392	0.0030391577
a	2.5768963e-05	0.0041254708	0.9708991	0.023795163	0.0011544955
e	0.003037951	0.02393265	0.047345195	0.71428937	0.21139483
n	0.00028199956	0.00022958183	0.036362	0.5242081	0.43891826
d	7.2022526e-06	0.00020402626	0.009022177	0.9092055	0.0815611
i	0.00030410284	0.002062362	0.19782811	0.44441172	0.35539377
m	0.0006695628	0.00021133173	0.0012621523	0.4620034	0.5358536
è	1.3159972e-05	0.00027224637	0.001555662	0.90713453	0.09102435
n	0.000152658	0.00016031595	0.0025369187	0.96143866	0.035711475
i	0.0003754492	0.00043673217	0.02279808	0.85112655	0.12526323
</S>	0.0042610955	0.0064026	0.0025001718	0.046974957	0.9398612
