 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.9980311	0.0019485815	1.3981241e-05	4.354541e-06	1.7492499e-06	2.4879194e-08	9.655334e-08
k	0.6190935	0.28204072	0.059461243	0.03360903	0.005787831	5.030772e-06	2.7896197e-06
r	0.3681459	0.62555623	0.006074729	0.0001746826	3.6828984e-05	8.772278e-06	2.8563823e-06
a	0.046932362	0.9488988	0.0041187555	4.8616006e-05	1.1404888e-06	1.7662376e-07	1.4773e-07
s	0.06621145	0.6201306	0.3128814	0.0007495502	2.6701002e-05	7.1263294e-08	3.1454115e-07
ì	0.001241923	0.14025684	0.84348786	0.014598708	0.00039004599	1.4462944e-05	1.0162937e-05
k	0.0006794832	0.024704652	0.9688302	0.0057066507	7.885432e-05	5.5082293e-08	1.0556992e-07
a	0.015142432	0.022386003	0.9279568	0.034031168	0.00046162898	1.7455537e-05	4.5338807e-06
l	0.031099679	0.014592211	0.87337655	0.072764754	0.008092629	4.7652913e-05	2.6462229e-05
ò	0.003371666	0.01704992	0.8686247	0.1052271	0.005272928	0.0003683745	8.5475665e-05
e	0.000533382	0.0021013282	0.35400367	0.63525283	0.008106899	8.888267e-07	9.584761e-07
n	0.021687469	0.040815238	0.21869488	0.6849732	0.033652518	0.00013900879	3.7702615e-05
a	0.026947293	0.043953218	0.24312277	0.5768221	0.09145724	0.013262214	0.0044351397
è	0.0032637294	0.0016795425	0.035606626	0.60755837	0.3516808	0.00015834835	5.2552514e-05
n	0.012581101	0.015329704	0.01919263	0.3399622	0.61229104	0.0003489599	0.0002943963
e	0.0019443975	0.00046840584	0.0053514526	0.43907923	0.5265374	0.021887211	0.004731884
a	0.29193407	0.38230294	0.031464316	0.021607183	0.22342187	0.035889592	0.013380076
n	0.03423877	0.03928112	0.005395586	0.02352715	0.57676077	0.26893228	0.051864255
v	0.00061968976	0.0008509958	0.00064453116	0.007823858	0.27699882	0.6549559	0.058106203
e	0.0040702284	0.031225031	0.00016452347	4.93673e-05	0.0029768376	0.84641147	0.115102455
k	0.013402787	0.01622604	0.0013877365	0.0014916109	0.032034706	0.2555919	0.6798652
k	0.002145159	0.0043850644	0.0002437655	0.00018345831	0.01665257	0.64546084	0.33092913
i	0.038988758	0.1410958	0.0012131914	0.00021786577	0.0050551454	0.52329093	0.2901383
à	0.2663793	0.4709775	0.0077502574	0.0014602116	0.001204179	0.0085885795	0.24363996
t	0.25258407	0.66542786	0.021941012	0.0033444467	0.003122914	0.009623482	0.043956127
o	0.00078742485	0.00065473875	4.1790932e-05	5.9825645e-05	0.009650699	0.74134403	0.24746147
</S>	0.025917415	0.092299715	0.0017669878	0.00044867245	0.0022568533	0.09065715	0.7866532
