 	era	molto	stanco	</S>
ì	0.99894255	0.0010292702	1.9487918e-05	8.64494e-06
o	0.86791486	0.12975408	0.0022490313	8.202892e-05
n	0.31465974	0.66917944	0.015370572	0.0007902796
e	0.042917956	0.9538219	0.0032003312	5.9775914e-05
p	0.004728185	0.94598114	0.048068978	0.0012216078
o	0.0016187765	0.97288877	0.018671812	0.00682058
d	0.0007639447	0.82160664	0.17309722	0.0045321337
d	0.0017036964	0.6782349	0.19012415	0.12993725
h	0.00047601512	0.036762137	0.9435025	0.019259274
ì	0.0034220528	0.49717268	0.45195964	0.04744564
s	0.021638604	0.4494092	0.3203381	0.20861414
t	0.013446693	0.052984357	0.4433509	0.49021804
r	0.0046557584	0.037571285	0.8169771	0.14079595
à	0.0028839712	0.023598481	0.8978851	0.07563247
k	0.1187802	0.025119225	0.021028543	0.8350721
k	0.0012812994	0.0062672705	0.048650734	0.9438007
o	0.019142082	0.002242924	0.14671272	0.83190227
</S>	0.0034638047	0.001105057	0.008691929	0.98673916
