 	si	è	rotta	la	coppa	</S>
e	0.95545727	0.044432167	7.987286e-05	7.3646597e-06	1.88433e-05	4.5352795e-06
g	0.6608116	0.23876627	0.09712262	0.0023717044	0.00084431795	8.354532e-05
l	0.93525827	0.03664449	0.017153138	0.007483471	0.0034395892	2.102328e-05
à	0.1348588	0.5411349	0.08643766	0.11795722	0.113443725	0.006167625
s	0.008294878	0.0075652883	0.9789595	0.004873397	0.0002921727	1.4661169e-05
t	0.018821023	0.034361724	0.78066164	0.115820624	0.050302338	3.2650652e-05
i	0.008280234	0.010020957	0.8452152	0.034801893	0.10137912	0.000302711
e	0.016976463	0.0012409157	0.6269568	0.28708816	0.060421877	0.007315774
c	0.00051355176	0.00010617304	0.0124655645	0.6318286	0.34574085	0.009345203
ò	3.2197e-05	1.391717e-05	0.0014697177	0.13885407	0.564734	0.29489613
p	0.00020273362	0.00038157022	0.026724232	0.27618355	0.49577254	0.20073532
p	2.6118056e-05	3.956892e-06	0.00096397585	0.0039516524	0.9943241	0.0007302952
a	7.207272e-05	5.7143484e-07	0.0039236	0.0033287096	0.99165136	0.0010237441
</S>	0.0017573979	1.4415142e-05	0.0036814956	0.0033819035	0.049509592	0.94165516
