 	vuole	andare	a	Lecce	</S>
i	0.99704605	0.0028168792	8.797901e-05	4.033135e-05	8.752739e-06
t	0.91673684	0.07688328	0.0052285595	0.0011424009	8.859277e-06
è	0.8644606	0.13352221	0.0017298767	0.0002769795	1.0365787e-05
l	0.8186517	0.17694886	0.004329973	6.622147e-05	3.1789489e-06
i	0.6604807	0.3284859	0.010152895	0.00087826344	2.1398773e-06
n	0.11132349	0.8208371	0.056392133	0.0108955735	0.00055167207
a	0.0041376245	0.75930756	0.23570845	0.0008402343	6.163834e-06
p	0.0067332047	0.5064889	0.47335446	0.013105312	0.00031807664
à	0.0020299808	0.36014903	0.5726897	0.04873966	0.016391616
i	0.0014403835	0.36168495	0.55047274	0.082366966	0.004035029
L	0.14489521	0.04114313	0.16328277	0.5005399	0.15013902
u	0.000503945	0.0051498264	0.1562745	0.81452996	0.023541799
p	0.00040114694	0.0024577978	0.019721989	0.9014964	0.07592269
p	0.00060972467	0.0018274061	0.06289916	0.77882934	0.15583435
ì	0.0007202901	0.00031114276	0.0060087782	0.83693206	0.15602769
u	0.00012332725	0.0055354205	0.27446428	0.5724218	0.14745519
n	0.010422535	0.0001756467	0.0008044411	0.014172564	0.97442484
a	0.009934272	0.00022276587	0.0071641416	0.62527174	0.3574071
</S>	0.00064267893	0.00022847865	0.001087474	0.011353304	0.9866881
