 	mi	si	gonfiò	il	dito	</S>
m	0.89262867	0.106314905	0.00076946424	4.6492867e-05	0.00022964805	1.085843e-05
u	0.016622923	0.30285114	0.24894203	0.34224847	0.07408505	0.015250431
p	0.030963186	0.7953229	0.17262729	0.00037723954	0.0005701364	0.00013932057
r	0.002580832	0.4846785	0.4396887	0.064827435	0.005630965	0.0025935522
ì	0.00018371848	0.71213216	0.26711223	0.01986588	0.00070374156	2.3003497e-06
s	0.0113428375	0.24597804	0.73579156	0.006825735	5.2959782e-05	8.890075e-06
t	0.021398045	0.26034403	0.5015717	0.15412661	0.058539603	0.0040199943
i	0.0012954999	0.4459654	0.5138739	0.008766447	0.028196445	0.0019023346
t	0.0064459876	0.06355002	0.71301097	0.18030107	0.030397438	0.006294619
o	3.2942822e-05	0.0039945417	0.20901129	0.61119837	0.1691376	0.006625239
d	0.00060227927	0.00275856	0.069137886	0.84504646	0.07836803	0.0040868586
à	1.2345114e-05	0.00020881032	0.021324292	0.560804	0.24322598	0.17442457
t	0.00047948014	0.0021161498	0.030813826	0.6041481	0.20352405	0.15891844
t	1.9130865e-05	0.0011182884	0.021508118	0.36956823	0.58465517	0.023131082
i	5.969202e-06	0.0016721312	0.0061799753	0.10009173	0.84988284	0.042167347
l	0.0002601453	0.00028412495	0.0007108108	0.023493553	0.7046608	0.2705906
o	1.702293e-06	3.742203e-05	0.0011671634	0.7090214	0.23983449	0.049937837
</S>	0.00015355271	0.00019306167	0.00021714419	0.0037190572	0.12138886	0.87432826
