 	ora	io	sto	studiando	di	diventare	medico	</S>
à	0.9979863	0.0020010346	9.559999e-06	2.1118422e-06	3.542052e-07	1.9810116e-07	1.3630742e-07	1.7148038e-07
r	0.7140894	0.2797459	0.005746456	0.00033174243	6.405e-05	1.4476452e-05	6.160189e-06	1.8482136e-06
t	0.93669766	0.060752995	0.0024919284	5.5069075e-05	2.1073122e-06	1.3137857e-07	7.7911494e-08	4.5882512e-08
e	0.5753965	0.3905821	0.033291437	0.00056922407	0.000100542406	1.0742251e-05	1.0480696e-05	3.8981718e-05
n	0.2715442	0.7202953	0.0073909787	0.0006806792	7.3350355e-05	1.18326725e-05	2.8393054e-06	7.4014036e-07
a	0.26583388	0.6392599	0.09396606	0.0008972744	3.560953e-05	2.9058622e-06	4.1984717e-06	2.0226908e-07
i	0.006472054	0.86367494	0.12351402	0.0063108285	2.3740484e-05	1.910834e-06	1.7398193e-06	7.064742e-07
v	0.0027484533	0.7428245	0.2082259	0.04579618	0.00036240075	2.5695525e-05	1.5852216e-05	1.0298284e-06
ò	0.0021060407	0.29939142	0.6058333	0.08635113	0.005285911	0.00041982395	0.00057621463	3.6177888e-05
s	0.0014579392	0.1499404	0.7780442	0.06987211	0.0006816204	2.8934019e-06	5.3016873e-07	2.3975812e-07
t	0.00039572234	0.11190784	0.7717437	0.11305218	0.0028479253	2.2198974e-05	2.7207674e-05	3.224673e-06
è	0.002392788	0.016437482	0.675167	0.3035461	0.0023789767	1.5570035e-05	1.8471455e-05	4.359218e-05
o	0.00868992	0.06842189	0.64287883	0.26034147	0.019123856	0.00031005408	0.000187099	4.697663e-05
s	0.003381725	0.0021663783	0.026318962	0.87251735	0.09451098	0.0007719253	0.00030737015	2.5274358e-05
t	5.166376e-05	0.004413447	0.09415834	0.6376412	0.25776008	0.005915986	5.7681056e-05	1.5747942e-06
u	6.239365e-05	0.00076451444	0.07079806	0.6697336	0.24823475	0.010249166	0.00013713747	2.0342612e-05
d	4.5383124e-05	0.00014985382	0.0061277067	0.86783856	0.124774806	0.0010264273	3.623984e-05	1.0217174e-06
i	8.6774584e-05	0.002078164	0.029257895	0.44725493	0.4967796	0.023410691	0.00092173205	0.00021026675
è	9.696659e-05	0.00046815252	0.00400062	0.47410327	0.45216605	0.067760706	0.0013667976	3.743754e-05
o	0.005743592	0.0020021207	0.007836335	0.2152886	0.7165365	0.049832698	0.001664556	0.0010956537
n	0.0018245402	0.00083613116	0.0017247632	0.05945026	0.46091738	0.45850128	0.016432075	0.00031354334
a	0.00016559476	6.064924e-05	0.000785617	0.023686131	0.40591663	0.51372457	0.05439792	0.0012629194
g	0.00038207948	0.00023607003	0.00030570675	0.0025543263	0.0486484	0.8775346	0.068597354	0.0017414218
h	4.7152666e-05	1.455357e-05	0.00024318778	0.010554473	0.1703594	0.6285083	0.17882702	0.011445894
e	0.00011029267	9.02905e-06	0.00013877115	0.004162301	0.012640416	0.22418155	0.59021574	0.16854194
t	2.2483971e-05	1.62381e-05	2.0840333e-05	0.0006899778	0.006762679	0.25446868	0.5931924	0.14482673
t	1.22211595e-05	9.4213e-06	0.000268784	0.0102163395	0.069995746	0.34020528	0.5138039	0.06548825
ò	3.9931565e-06	3.943185e-06	5.955057e-05	0.003391509	0.043972217	0.22698846	0.63733083	0.08824945
m	5.7683105e-06	5.489535e-06	9.2223945e-06	0.00022817931	0.0028127213	0.12576845	0.84623533	0.024934914
e	9.430965e-06	2.4440365e-06	1.4382262e-05	0.0001414531	0.002697639	0.15980558	0.82274246	0.01458658
s	0.00029381984	9.816325e-05	0.0001547704	0.00033349858	0.0003228391	0.015015906	0.46746936	0.51631165
s	2.9415223e-06	5.136595e-07	5.943376e-06	3.4180768e-05	0.0012448796	0.09645793	0.88354146	0.01871219
è	8.616409e-06	9.1841946e-07	9.228661e-06	5.1383828e-05	0.0006456169	0.039902776	0.8523766	0.10700484
r	1.0326342e-05	4.162796e-06	8.68496e-06	2.0686046e-05	7.391319e-05	0.010620319	0.92444986	0.06481205
e	1.7375082e-06	3.431899e-07	2.6439266e-06	1.0692525e-05	0.00011654738	0.022029951	0.9514725	0.026365545
</S>	0.00011620419	3.0642117e-05	5.59657e-05	0.00010028113	4.5258956e-05	0.0004137617	0.12365208	0.87558573
