 	lo	posso	finire	di	scrivere	</S>
o	0.9986934	0.0012835368	2.1407892e-05	8.5730187e-07	7.346471e-07	1.1943317e-07
s	0.48835948	0.5097316	0.0013468686	0.0005068594	4.9973703e-05	5.296789e-06
ò	0.09949262	0.8886034	0.011559261	0.0002680293	7.3504496e-05	3.1972224e-06
z	0.0010891228	0.99721754	0.0016891646	3.948403e-06	1.9869755e-07	1.6543254e-08
o	0.08591353	0.82895285	0.08393624	0.001089177	0.0001059815	2.2713532e-06
s	0.2338334	0.3553551	0.3198392	0.07689929	0.013782819	0.00029015492
p	0.0020008835	0.40850616	0.50328934	0.0857063	0.0004948133	2.5164486e-06
i	0.0012584104	0.22642006	0.77051604	0.0017318027	6.918806e-05	4.496362e-06
c	0.004190632	0.070230335	0.8685263	0.05566148	0.0013777944	1.352245e-05
c	0.00010092686	0.025064472	0.09143685	0.85378563	0.019950122	0.009661861
è	0.0015381556	0.07112651	0.84961677	0.05934594	0.017760944	0.00061167387
t	0.0017118846	0.011105096	0.039688855	0.9255571	0.021660527	0.00027658892
s	0.005193456	0.024377361	0.04584341	0.868174	0.052916244	0.0034955645
i	0.01956676	0.3245508	0.28422886	0.3600869	0.010094986	0.0014716497
à	0.07469	0.030486422	0.118622184	0.43329614	0.33393195	0.008973349
t	0.010936678	0.0073859333	0.008940893	0.43466154	0.5166525	0.021422401
s	0.00016453459	0.00041325155	0.0005844983	0.82423073	0.16790886	0.006698239
e	0.0038636262	0.013228139	0.003413746	0.2720342	0.67663443	0.030825822
g	0.002264986	0.004266194	0.030841993	0.019956958	0.731967	0.21070287
r	2.9090057e-05	5.0807026e-05	0.00066476676	0.113763824	0.83939046	0.046101097
à	6.815115e-05	0.00016066073	0.0024492673	0.049240403	0.78940856	0.15867296
t	0.00031467574	0.0001471565	0.0003038109	0.00072850985	0.6317093	0.36679652
s	3.7456633e-05	5.075984e-05	1.8394554e-05	0.016478451	0.9136694	0.06974552
i	0.00011216264	0.00031719994	6.049209e-05	0.0008563034	0.9738952	0.024758723
</S>	0.0006230588	0.00065085	0.0035714095	6.057509e-05	0.04982774	0.9452664
