 	da	da	un	famoso	poeta	</S>
p	0.9984282	0.0015019316	4.6652258e-05	2.0870339e-06	1.9875446e-05	1.1725223e-06
u	0.934215	0.049761284	0.0023221695	0.010553569	0.0031238329	2.4183983e-05
s	0.49617627	0.50072044	0.003051389	1.6573977e-05	2.3659846e-05	1.1660136e-05
s	0.21157722	0.7793805	0.008729113	0.00023271152	8.010406e-05	4.0853612e-07
è	0.14785077	0.68492496	0.16300921	0.0038657242	0.00031058188	3.880077e-05
n	0.046463292	0.89487517	0.058620136	1.30293165e-05	2.8076493e-05	4.3321143e-07
a	0.01949783	0.8396276	0.13717987	0.0032441313	0.00042288133	2.7612616e-05
f	0.08742798	0.31091812	0.5750823	0.011117355	0.015086161	0.00036798473
a	0.0027964448	0.2964321	0.5161793	0.1753962	0.00848997	0.00070602744
m	0.0008417165	0.06312396	0.91350174	0.0210851	0.0013913378	5.6118846e-05
ò	0.0037936713	0.03985425	0.48651886	0.4370453	0.023002177	0.009785668
s	0.0005003429	0.024691321	0.8642781	0.061715852	0.04878779	2.654582e-05
o	0.004072024	0.020384923	0.33178952	0.5853767	0.051376343	0.007000488
p	0.10574388	0.04696309	0.16505751	0.4070989	0.2630555	0.012081158
o	0.0001807656	0.0004933409	0.011701296	0.7588365	0.21383747	0.014950564
è	8.817105e-05	0.00018794474	0.010697561	0.07092676	0.850642	0.06745761
t	0.006015185	0.0024552606	0.0021445646	0.024740214	0.8993406	0.06530417
a	3.1548225e-05	3.4891873e-05	0.0007434792	0.050288234	0.9408623	0.008039436
</S>	0.020033937	0.0076341317	0.004594389	0.0050752293	0.38742027	0.57524204
