 	ancora	non	mi	sono	vestito	</S>
a	0.9770747	0.014585565	0.0081616305	9.467494e-05	4.376721e-05	3.968794e-05
n	0.9874769	0.0073607545	0.0045995046	0.00054245355	1.7093982e-05	3.3319109e-06
k	0.93787247	0.03537344	0.002175541	0.008361844	0.013188926	0.0030277607
ò	0.6398872	0.01854582	0.015454407	0.0035869882	0.14619324	0.17633218
r	0.6771391	0.28532353	0.033349477	0.0036080587	0.00014458394	0.00043517572
a	0.8881474	0.04626595	0.03153358	0.02494641	0.009005348	0.00010134123
e	0.050878145	0.42262372	0.49891838	0.018731346	0.0039090123	0.00493936
n	0.025004681	0.3320586	0.30182192	0.32769227	0.012006946	0.0014156143
e	0.0003612948	0.0738389	0.18541229	0.4090393	0.32776517	0.0035831095
n	0.0016681876	0.03381305	0.14620513	0.426917	0.11088078	0.2805158
d	0.0002030061	0.003517176	0.04500311	0.39246142	0.50354755	0.05526774
ì	0.00513585	0.0048389877	0.005519706	0.19694196	0.70172614	0.08583747
s	0.0005024812	0.021218533	0.027657825	0.80575955	0.13828637	0.006575151
i	0.005322471	0.008255657	0.003828024	0.34436136	0.5139388	0.12429363
m	0.016570944	0.0042031542	0.011515714	0.055503465	0.075747885	0.8364588
o	0.0002140664	0.00015010647	0.0015473408	0.1262034	0.78548044	0.08640462
</S>	0.00010842183	0.0011181461	0.0009834493	0.021401733	0.15410623	0.822282
