 	non	so	cosa	stai	scrivendo	</S>
e	0.8845902	0.11405304	0.001088532	5.1269875e-05	0.00020280201	1.4149392e-05
n	0.15222493	0.8277091	0.019375369	0.0006342674	4.7749134e-05	8.654496e-06
e	0.26298165	0.61305696	0.11180643	0.0032379518	0.008633969	0.000283003
t	0.0071710665	0.83696663	0.15100457	0.0047502727	9.977306e-05	7.636232e-06
s	0.008433906	0.17451072	0.787008	0.027736424	0.0016788462	0.00063204067
è	0.0013312091	0.094374634	0.8877322	0.015266166	0.0011794978	0.00011625942
r	0.010438626	0.47199333	0.3155803	0.20142202	0.00047529364	9.0316025e-05
o	2.7988175e-05	0.016127326	0.9266127	0.057088446	0.00014246083	1.0478938e-06
e	0.037545647	0.13079253	0.0818674	0.6752473	0.0693107	0.005236428
s	0.00075723644	0.0021837505	0.031946756	0.8964501	0.06755702	0.0011051168
ù	9.514936e-05	0.0018686537	0.10224	0.4661437	0.37428203	0.055370532
t	0.0011270659	0.0062264013	0.0034479254	0.5645903	0.392382	0.032226298
i	1.3262674e-05	0.0006000254	0.042854045	0.6128039	0.34199718	0.0017315209
s	0.004525325	0.009067388	0.005194464	0.028076455	0.79428214	0.15885429
t	5.0480103e-06	0.00011537783	0.002215774	0.119687766	0.8260094	0.05196662
e	1.5859192e-06	7.969645e-05	0.004682674	0.03461493	0.74328995	0.21733117
g	4.674311e-05	0.00010993483	4.017479e-05	0.0021089579	0.79251313	0.20518102
r	6.4045626e-06	3.5134646e-05	0.0010232755	0.09707934	0.8259877	0.07586816
à	1.7843299e-06	4.6237197e-05	0.0007929928	0.0058032726	0.73023105	0.2631247
f	3.472839e-05	0.000102263286	3.235986e-05	0.0012031762	0.7977105	0.20091702
i	3.1507432e-07	3.5947166e-06	3.129699e-05	0.0012989593	0.9883852	0.010280726
</S>	0.00020016526	0.0003461829	0.0004248025	0.0004324145	0.10669634	0.8919001
